Item,Price,Description
Cheese Steak (Plain),9.95,Meat & Cheese
Chuck’s Special Cheese Steak,11.95,"Mushroom, Green Pepper, Onion"
Chicken Cheese Steak Special,11.95,"Chicken Cheese Steak With Grilled Pepper, Onion, Mushroom"
Grilled Chicken Caesar Wrap,11.95,
Buffalo Chicken Cheese Steak,10.5,Chicken Cheese Steak With Buffalo Sauce
Gyro (Beef),9.95,"With Lettuce, Tomato, And Cucumber Sauce On Pita Bread."
Onion Cheese Steak,10.5,Cheese Steak With Grilled Onion
Chicken Cheese Steak Hoagie,10.95,"Chicken Cheese Steak With Lettuce, And Tomato."
Mushroom Cheese Steak,10.5,Cheese Steak With Grilled Mushroom
Grill Chicken BLT,13.95,
BLT,7.95,
Buffalo Chicken Sandwich,11.95,
Cheese Steak Hoagie,10.95,"Cheese Steak With Lettuce, Tomato"
Chicken Cheese Steak With 1 Vegetable,10.5,"Chicken Cheese Steak With One Vegetable (Please Choose One Vegetable From Mushroom, Pepper, Onion)"
Grill Cheese,6.95,
Pepper Cheese Steak,10.5,Cheese Steak With Grilled Green Pepper
Grilled Chicken Sandwich,11.95,
Chicken Cutlet,9.95,
Grill Cheese BLT,8.95,
Chicken Cheese Steak Special (Plain),9.95,
50 Buffalo Wings,61.95,Include 4 Blue Cheese & Celery Stick
14 Buffalo Wings,18.95,Include 1 Blue Cheese & Celery Stick
21 Buffalo Wings,27.95,Include 2 Blue Cheese & Celery Stick
28 Buffalo Wings,35.95,Include 3 Blue Cheese & Celery Stick
35 Buffalo Wings,43.95,Include 3 Blue Cheese & Celery Stick
Grilled Chicken Caesar Salad,13.95,
Coleslaw,6.5,
Caesar Salad,9.5,
Fresh Tossed Salad,10.95,"Iceberg Lettuce, Tomato, Onion, And Cucumber."
Cold Sesame Noodle,6.5,
Bacon Cheeseburger,10.95,"Lettuce, Tomato"
Cheese Burger,8.95,"Lettuce, Tomato"
Cheese Burger Combo,14.5,Cheese Burger With French Fries
Veggie Burger,9.95,"Lettuce, Tomato"
Chili Cheese Dog,9.5,"Chili Dog With Cheddar Cheese, Foot-long Size (12"")"
Hot Dogs,7.5,"Foot-long Size (12"")"
Smother Cheeseburger,9.95,Cheese Burger With Grilled Onion & Grilled Mushroom
Chili Dog,8.5,Foot-long Size(12’’)
Hamburger,8.5,"Lettuce, Tomato"
Chili Burger,8.95,"Lettuce, Tomato"
Chili Cheeseburger,9.5,"Lettuce, Tomato"
Chili,6.95,
8 BBQ Pork Ribs,24.95,
Wing & Rib Combo,21.95,7 Wings & 3 Ribs
5 BBQ Pork Ribs,16.95,
Rib Combo,17.95,3 Ribs & Sesame Noodle And Coleslaw.
Wings Combo,16.95,7 Wings & Sesame Noodle And Coleslaw
Fish & Chips,13.95,"2 Pcs Flounder, Fresh Cut French Fries, And Coleslaw"
Flounder Sandwich,9.95,"Lettuce, Tomato, And Comes With Tartar Sauce"
Clam Sandwich,7.95,Clam Strip And Tartar Sauce
Shrimp Combo,12.5,"Fried Shrimp, Fresh Cut French Fries, And Coleslaw"
Crab Cakes,9.5,"2 Pcs Crab Cakes, Comes With Tartar Sauce"
Crab Cake Sandwich,8.5,Comes With Tartar Sauce
Mozzarella Sticks (6 Pieces),7.95,Comes With Marinara Sauce
Curly Fries,6.95,
Fresh Cut French Fries,5.95+,
Chicken Tender (5pcs),10.95,
Buffalo Popcorn Chicken,9.5,Comes With Blue Cheese
Corn Nuggets,8.95,
Cheese Fries,6.95,Fresh Cut French Fries With Cheddar Cheese
Mac & Cheese Wedges,8.95,10 Pcs Mac And Cheese Wedges.
Chicken Nuggets(10pcs),7.95,Comes With Honey Mustard
Onion Rings,6.95,
Mini Tacos (12pcs),9.95,"Chicken Mini Tacos, Comes With Marinara Sauce"
Curly Cheese Fries,7.95,Curly Fries With Cheddar Cheese
Pierogies (5 Pieces),7.5,Deep Fried And Comes With Sour Cream
Jalapeño Poppers (7 Pieces),8.95,Cream Cheese Inside Comes With Marinara Sauce
Sweet Potato Fries,6.95,
Buffalo Fries,6.95,Fresh Cut French Fries Mix With Buffalo Sauce.
Bread Mushroom,8.95,Comes With Marinara Sauce
Chili Cheese Fries,7.95,Chili Fries With Cheddar Cheese
Chili Fries,6.95,Fresh Cut French Fries With Homemade Chili On Top.
