Item,Price,Description
Affogato,9,"vanilla ice cream ""drowned"" with espresso"
Ahi Tuna Crudo,20,"ponzu shoyu, ginger, pickled chili, sesame crunch"
Apple Crisp,12,"toasted oat, bent spoon vegan vanilla ice cream"
Baby Kale,14,"delicata squash, cranberry, goat cheese, toasted walnut, apple cider"
Biscotti,7,chocolate walnut & vanilla almond
Burrata Mozzarella,17,"roasted delicata squash, garlic olive oil, walnut-parmigiano crunch"
Butterscotch Budino,10,"custard, almond crunch, sea salt"
Caesar Salad,12,"little gem lettuce, sourdough crouton, parmigiano"
Calamari Fritti,15,"pickled jalapeño, aioli, marinara, charred lemon"
Chicken Mole Empanada,16,"onion, cilantro, tomato, crema, sesame"
Chicken Salad Wrap,19,"madras curry, celery, onion, cranberry, cilantro, yogurt, fries"
Chickpea Hummus,10,"olive oil, aleppo, pita"
Daily Oyster ,20,"mignonette, cocktail sauce"
Falafel Cobb Bowl,25,"farro, garlic spinach, cremini mushroom, cipollini, giardiniera, whipped ricotta"
Fall Panzanella,14,"beet, brussels sprout, halloumi, crouton, cucumber, pepita, warm vinaigrette"
Flourless Chocolate Cake,10,raspberry coulis
Fried Sicilian Cauliflower,14,"pickled raisin, caper, parmigiano, roasted garlic aioli"
Grassfed Beef Meatball,16,"garlic, basil, parmigiano, pomodoro, cherry pepper relish"
House Made Pappardelle,29,"“mushroom bolognese”, shiitake & cremini ragú, san marzano, parmigiano"
House Made Rigatoni,28,"white vodka sauce, fennel chicken sausage, pork guanciale, basil, parmigiano"
Local Chicken,30,"rice, haricot vert, cremini, carrot, pea, cippolini, jardiniere sauce, herb salad"
Market Bowl,21,"crispy rice, persian cucumber, sugar snap pea, shishito, avocado, jammy egg, pickled radish, herb aioli"
Niman Ranch Pork Chop,38,"brussels sprout, maitake mushroom, butternut purée, apple butter, jus"
Nj Green Salad,13,"radish, shishito , cucumber, toasted quinoa, dijon"
Nordic Blu Salmon,36,"clams, Yukon potato, spinach, piperade, olive oil & garlic emulsion"
Paella Clásica,36,price per person
Pane,3,"terramomo bread, extra virgin olive oil, focaccia spice"
Papas Bravas,10,"fried potato, manchego aioli, salsa brava"
Pastaless Lasagna,27,"roasted eggplant, garlic spinach, pomodoro, basil, fresh mozzarella"
Prime Ny Strip,50,"crisp smashed potato, rosemary, sherry & shallot reduction"
Rare Ahi Tuna Sandwich,26,"sesame crust, pickled vegetable, shishito pepper, ponzu, wasabi aioli, fries"
Salmon Tartare,18,"avocado, fennel, cucumber, cured tomato, mustard-dill vinaigrette, picked red onion"
Shrimp Saganaki Bowl,26,"orzo salad, kalamata olive, cured tomato, roasted pepper, eggplant, arugula, feta"
Smoked Salmon Wrap,24,"onion, tomato, cucumber, caper, avocado, potato latke, horseradish crema, side salad"
Soup Today,12,chef preparation
Stuffed Mushroom,15,"sweet italian pork sausage, spinach, mozzarella, bread crumb"
Sweet Potato Falafel,13,"pickled radish, cilantro aioli"
The Med Burger,21,"grassfed beef, roasted tomato, berkshire bacon, havarti, salsa verde, fries"
