Item,Price,Description
"B.A.L.T.",9.95,"Bacon, avocado, lettuce, tomato, ranch."
"Chocolate Chip Cookie",3.95,"Oversized house cookie."
"French Fries",5.95,"With tzatziki dipping sauce."
"Olives Famous Chicken Salad",9.95,"House chicken salad."
"Turkey Breast Sandwich",9.95,"Sliced turkey on your choice of bread."
"BBB Breakfast Burrito",8.95,"Bacon, egg, cheese, avocado, salsa verde on a tortilla."
"Bacon, Egg & Cheese Sandwich",7.95,"Breakfast sandwich with bacon, egg, and cheese."
"Fresh Mozzarella, Tomato & Basil",7.95,"On baguette or seven-grain roll."
"Muffins",3.49,"Assorted flavors."
"Joe Tea",3.00,"Assorted flavors."
"Chicken Caesar Salad",10.95,"Romaine, Caesar dressing, parmesan."
"Cobb Salad (To Go)",10.95,"Mixed greens with dairy and meat."
"Greek Salad (To Go)",8.95,"Greek salad; contains dairy."
"Greek Chicken Platter",14.95,"Grilled chicken with sides."
"Caribbean Jerk Chicken Platter",14.95,"Jerk-seasoned chicken with sides."
"Grilled Salmon Platter",17.95,"Grilled salmon with sides."
"Chicken & Rice Burrito",12.95,"Chicken and rice burrito, avocado."
"Chicken Parmesan Platter",14.95,"Breaded chicken cutlet with sauce and cheese."
"Chicken Caesar Salad Wrap (To Go)",9.95,"Chicken Caesar in a wrap; no croutons."
"Turkey & Cheese Wrap (To Go)",9.95,"Turkey and cheese; mayo on the side."
"Ciabatta Loaf",5.99,"House bread loaf."
"Bagel",1.95,"Plain or everything."
"Egg White Sandwich",7.95,"Egg white breakfast sandwich."
"Pork Roll & Cheese",6.95,"Pork roll with cheese."
"Egg White Omelet",9.95,"Choose two: spinach, onion, tomato, pepper."
"Butter Kaiser Roll",1.95,"Butter on a kaiser roll."
"Turbo Omelet",11.95,"Six egg whites with grilled chicken or veggie burger."
"Egg Whites Pita",8.95,"Egg whites with avocado and sliced tomato on a pita."
"Egg Whites 7-Grain",8.95,"Egg whites with avocado, spinach, feta on toasted 7-grain."
"The SoCal",8.95,"Two fried eggs, avocado, sprouts, tomato on 7-grain toast."
"Bagel with Lox & Cream Cheese",10.95,"Bagel topped with lox and cream cheese."
"Fage Greek Yogurt",2.50,"Single cup."
"Ham, Egg & Cheese Sandwich",7.95,"Breakfast sandwich with ham, egg, and cheese."
"Hot Oatmeal",4.95,"Hot oatmeal."
"Sausage, Egg & Cheese Sandwich",7.95,"Breakfast sandwich with sausage, egg, and cheese."
"The Halloumi",9.75,"Halloumi cheese, scrambled eggs, tomato on croissant or 7-grain."
"Western Omelet",8.95,"Classic western omelet."
"Breakfast Brioche",10.95,"Scrambled eggs, cheddar, avocado, spicy aioli; bacon or sausage."
"Corn Tortilla Egg Sandwich",7.95,"Two eggs over easy or hard on corn tortillas with cheese."
"Protein Egg Sandwich",11.95,"Six egg whites with turkey or grilled chicken on whole-wheat wrap."
"Croissant Egg Sandwich",8.95,"Bacon or sausage, eggs, cheddar on a croissant."
"Breakfast Bowl",10.95,"Two eggs over tater tots with bacon or sausage, avocado, salsa verde."
"Gyro in Pita",9.95,"Gyro with tzatziki, lettuce, tomato, onion on pita."
"Homemade Meatball Sub",10.95,"Meatballs with melted provolone."
"Spanakopita",6.95,"Greek spinach pie."
"Boar’s Head Hot Dog",5.95,"Hot dog on torpedo roll."
"Chicken Souvlaki in Pita",9.95,"Grilled chicken, tzatziki, lettuce, tomato, onion on pita."
"B.L.T.",7.95,"Bacon, lettuce, tomato."
"Chicken Parmigiana Sandwich",12.95,"Chicken cutlet with sauce and provolone."
"Moussaka",10.95,"Greek eggplant casserole."
"Grilled Chicken Sandwich",10.95,"Grilled chicken with lettuce and tomato on your choice of bread."
"Grilled Chicken, Tomato & Mozzarella",10.95,"Grilled chicken with tomato and fresh mozzarella."
"Spicy Gyro",9.95,"Gyro with hot sauce."
"Teriyaki Chicken Sandwich",12.95,"Monterey jack, lettuce, tomato, mayo."
"BBQ Chicken Sandwich",12.95,"Monterey jack, lettuce, tomato, ranch."
"Grilled Cheese",5.95,"American cheese on grilled bread."
"Malibu Chicken Souvlaki",12.95,"Chicken souvlaki with tzatziki, lettuce, tomato, avocado, crumbled feta."
"Santa Fe Chicken Sandwich",13.95,"Kaiser roll, Monterey jack, avocado, chipotle mayo, bacon."
"Spicy Chicken Souvlaki",9.95,"Chicken souvlaki with hot sauce."
"Spicy Chicken Sandwich",12.95,"Crispy chicken, pepper jack, lettuce, tomato, pickles, spicy chipotle on brioche."
"Grilled Italian Chicken Sandwich",10.95,"Provolone, lettuce, tomato, mayo on a roll."
"Chicken Tenders & Fries",8.95,"Kids meal."
"PB & J",4.95,"Peanut butter and jelly sandwich."
"Nutella Toast",4.95,"White or whole wheat."
"Chicken Salad Over Tossed Salad",13.95,"House chicken salad over greens."
"Assorted Cheese Sandwich",7.95,"Cheese sandwich."
"Roast Beef Sandwich",10.95,"Roast beef on your choice of bread."
"Egg Salad Sandwich",6.95,"Egg salad with lettuce and tomato."
"Italian Hoagie",10.95,"Classic Italian hoagie."
"Ham Sandwich",9.95,"Ham on your choice of bread."
"American Hoagie",10.95,"American-style hoagie."
"Tuna Salad Sandwich",10.95,"White albacore tuna salad sandwich."
"Grilled Chicken & Mozzarella Hoagie (8\")",10.95,"Grilled chicken with fresh mozzarella on a baguette."
"Avocado Toast",7.95,"With crumbled feta on 7-grain toast."
"Curried Chicken Salad Sandwich",10.95,"Curried chicken salad."
"Grilled Chicken Over Tossed Salad",13.95,"Grilled chicken over mixed greens."
"Middle Eastern Platter",11.95,"Greek salad with hummus, stuffed grape leaves, pita."
"Veggie Burger Deluxe",9.95,"Vegetarian burger."
"Greek Salad",9.95,"With baguette."
"Hummus in Pita",7.95,"Hummus with lettuce and tomato in pita."
"Falafel in Pita",7.95,"Falafel with tzatziki, lettuce, tomato, onion."
"Grape Leaves Stuffed with Rice",8.95,"Served on a garden salad."
"Santa Monica Wrap",8.95,"Hummus, avocado, sprouts on whole-wheat wrap."
"Falafel Platter",10.95,"Falafel with tzatziki, hummus, lettuce, tomatoes, grape leaves, pita."
"Chicken Salad (1/2 lb)",7.00,"Deli salad by the half-pound."
"Curry Chicken Salad (1/2 lb)",7.00,"Deli salad by the half-pound."
"Hummus (1/2 lb)",6.00,"Chickpea dip by the half-pound."
"Tuna Salad (1/2 lb)",7.00,"Deli salad by the half-pound."
"Three Salad Combo",9.95,"One meat, two veg deli salads."
"Double Fudge Brownie",3.25,"Chocolate brownie."
"Rocky Road Brownie",3.79,"Rocky road brownie."
"Baklava",3.95,"Honey-nut filo pastry."
"Cannolis",4.95,"Vanilla or chocolate."
"Rice Pudding Cup",5.95,"Creamy rice pudding."
"Baby Cakes",6.95,"Assorted mini cakes."
"Pecan Bar",3.95,"Nut bar; contains nuts."
"Triple Chocolate Cookie",3.95,"Chocolate cookie."
"Caramel Flan",4.95,"Caramel custard."
"Coconut Macaroon",4.99,"With chocolate."
"Lemon Bar",3.79,"Lemon bar."
"Linzer Tarts",3.79,"Jam-filled tart."
"Oatmeal Raisin Cookie",3.95,"Contains walnuts."
"Tiramisu",5.95,"Classic tiramisu."
"Almond Macarons (1/2 lb)",10.00,"Made with almond flour; contains nuts."
"Chocolate Chip Biscotti (1/2 lb)",10.00,"Biscotti."
"Greek Butter Cookies (1/2 lb)",10.00,"Traditional cookies."
"Homemade Butter Cookies (1/2 lb)",10.00,"With sprinkles."
"Margaritas (1/2 lb)",10.00,"Shortbread cookies."
"Almond Shortbread Cookies (1/2 lb)",10.00,"Contains nuts."
"Peanut Butter Cookies (1/2 lb)",10.00,"Contains nuts."
"Schnecken (1/2 lb)",10.00,"Cream-cheese dough with cinnamon sugar and walnuts; apricot or raspberry."
"Walnut Biscotti (1/2 lb)",10.00,"Contains nuts."
"Walnut Crescents (1/2 lb)",10.00,"Contains nuts."
"Milk",2.99,"Regular or skim."
"Chocolate Milk",3.95,"Chocolate milk."
"Soda (20 oz)",2.50,"Coke, Diet Coke, or Sprite."
"Snapple",2.50,"Assorted flavors."
"Water",1.75,"Bottled water."
"Pellegrino Sparkling Water",3.00,"Sparkling mineral water."
"Red Bull (8.4 oz)",3.50,"Regular or diet."
"Tropicana Orange Juice",2.99,"Bottled orange juice."
"Bai",2.95,"Assorted flavors."
"Dirty Potato Chips",2.49,"Assorted flavors."
"Kombucha",4.99,"Assorted flavors."
"Pellegrino Sodas",3.99,"Assorted flavors."
"Stacy's Pita Chips",4.99,"7 1/3 oz bag."
"Stacy's Pita Thins",5.99,"Bag of pita thins."
"Xochitl Corn Chips",6.99,"12 oz bag."
