Item,Price,Description
"Bacon Scrambler","10.75","Scrambled eggs, thick-cut bacon, blend of melting cheeses"
"The Scrambler","8.75","Scrambled eggs with blend of melting cheeses"
"Turkey Sausage, Egg & Cheese","11.50","House turkey sausage, scrambled eggs, blend of cheeses"
"Southwest Sausage, Egg & Cheese","12.75","Turkey sausage, scrambled eggs, black beans, scallions, house hot sauce"
"Egg & Veggie Crepettata","10.75","Oven-baked egg frittata (spinach, red onion, dill, feta) in a mozzarella crepe"
"Green Eggs & Ham","11.75","Scrambled eggs, Black Forest ham, mozzarella, spinach, seasonal pesto"
"Cinnamon Breakfast Toasty","11.50","Browned butter, cinnamon sugar, two eggs, thick-cut bacon, maple syrup"
"Jammin' Turkey Club","14.50","Oven-roasted turkey, thick-cut bacon, mozzarella, greens, seasonal chutney, horseradish aioli"
"Hammin' Cheese","13.25","Black Forest ham, Swiss, seasonal pickles, mustard aioli"
"Everything's Better With Bacon & Jam","14.25","Thick-cut bacon, seasonal micro-batch jam, baby arugula, brie"
"Smoked Turkey Reuben","13.25","Smoked turkey, Swiss, house Thousand Island, organic sauerkraut"
"Spicy Chicken Cheesesteak","15.25","Oven-roasted chicken, sauteed onions & peppers, provolone, spicy aioli"
"Banh Mi","12.75","Black Forest ham, pickled radish & carrot, cucumber, spicy aioli, cilantro"
"Chicken BLT","15.25","Oven-roasted chicken, thick-cut bacon, cheese blend, Jersey tomatoes, greens, tomato-basil aioli"
"Smoky Apple & Brie","12.25","Smoked turkey, brie, fresh apple, onion jam"
"Vegan Hummus & Pickles","12.75","Sweet potato hummus, beet pickled turnips, cucumber, greens, za'atar aioli (GF/Vegan crepe)"
"Vegan Veggie Kimchee","13.75","Oven-roasted seasonal vegetables, kimchee, baby spinach (GF/Vegan crepe)"
"Sweet Potato Creperito","12.75","Roasted Jersey sweet potatoes, black beans, scallions, cheese blend, cilantro crema"
"Veggie Goat","14.50","Oven-roasted seasonal vegetables, goat cheese, baby arugula, balsamic glaze"
"Shroomy White Pizza","11.75","Garlic-roasted mushrooms, mozzarella, ricotta, baby spinach, basil"
"Vegan Tomato Pie","11.75","Oven-dried plum tomatoes, savory tomato jam, arugula, vegan mozzarella (GF/Vegan crepe)"
"The Health Nut","10.50","Peanut butter, bananas, house honey granola, Jersey honey"
"Grilled Cheese Melty","7.75","Blend of melting cheeses in a warm savory crepe"
"Pizza Melty","8.25","Jersey marinara, mozzarella, parmesan"
"PB & J","7.75","All-natural peanut butter with seasonal micro-batch jam"
"Classic Toasty Cinnamon","7.25","Browned butter and cinnamon sugar"
"Apple Toasty","8.25","Browned butter, cinnamon sugar, orchard spiced apples"
"Chocolate Toasty","8.25","Browned butter, cinnamon sugar, dark chocolate"
"The Wyatt","8.75","Browned butter, cinnamon sugar, house 'Nut-Cho-Tella'"
"Nutty S'more","10.75","Cinnamon sugar, browned butter, graham crackers, toasted coconut marshmallow, 'Nut-Cho-Tella'"
"Lemon & Lavender","7.25","Browned butter, lemon, lavender sugar"
"Orchard Lemon","8.00","House lemon curd with local apples"
"Nut-Cho-Tella","7.95","House hazelnut-almond chocolate spread"
"Jammin' Good","7.75","Sweet crepe with seasonal local fruit jam"
"Brownies In A Blanket","12.25","Double chocolate brownies wrapped in a sweet crepe with salted caramel"
"Feelin' Peachy","9.75","Preserved peaches with raspberry coulis, whipped cream"
"Caramel Apple Toasty A La Mode","11.25","Classic Toasty with orchard apples, ice cream, salted caramel"
"Banana Cream Pie","8.50","Banana jam, fresh banana, whipped cream, salted caramel"
"Daily Soup","7.75","Chef's daily soup"
"Granola Bowl","6.75","Hand-crafted granola with oats, almonds, honey, coconut, pumpkin seeds"
"Seasonal House Salad","6.50","Mixed greens, spinach, pickled butternut squash, dried cranberries, candied pecans, white balsamic vinaigrette"
"Yogurt Parfait","6.95","Plain yogurt, seasonal jam, honey almond granola"
"House-Baked Cookies","3.50","Freshly baked cookies"
"Coffee 10 oz","3.50","Small World Coffee — Colombian blend"
"Coffee 16 oz","4.50","Small World Coffee — Colombian blend"
"Cappuccino 10 oz","4.75","Single shot espresso with steamed milk foam"
"Cappuccino 16 oz","6.00","Double shot espresso with steamed milk foam"
"Latte 10 oz","4.75","Single shot espresso with hot steamed milk"
"Latte 16 oz","6.00","Double shot espresso with hot steamed milk"
"Espresso Single","3.50","A single shot of espresso"
"Espresso Double","4.50","A double shot of espresso"
"Macchiato 10 oz","3.75","Espresso with a small amount of foamed milk"
"Macchiato 16 oz","4.95","Espresso with a small amount of foamed milk"
"Hot Tea","4.00","Assorted teas"
"Bottled Water","1.95","Bottled spring water"
"Brewed Cold Tea","4.00","House-brewed cold tea"
"Iced Latte","6.00","Espresso with milk over ice"
"Iced Americano","4.50","Espresso with ice water"
"Boylan Soda","2.95","Local handcrafted soda"
"Harney & Sons Bottled Juices","3.95","Assorted organic juices"
"Organic Chocolate Milk","2.95","Single-serve organic chocolate milk"
"Orange Juice","4.50","Natalie’s 100% orange juice"
"Cold Brew","5.75","Cold brew coffee"
