"item","price","description"
"Drip Coffee - Single","3.50","10 fl oz House Blend (Joe)."
"Drip Coffee - Double","4.50","16 fl oz House Blend (Double Joe)."
"Cappuccino - Single","4.75","One shot with equal parts steamed milk and microfoam (10 fl oz)."
"Cappuccino - Double","6.00","Two shots with steamed milk and about 2 inches microfoam (16 fl oz)."
"Cappuccino - Forte","5.75","Two shots with equal parts steamed milk and microfoam (10 fl oz)."
"Au Lait","5.00","Half drip coffee, half steamed milk (16 fl oz)."
"Latte - Single","4.75","One shot of espresso in steamed milk (10 fl oz)."
"Latte - Double","6.00","Two shots of espresso in steamed milk (16 fl oz)."
"Mocha - Single","6.25","Espresso, steamed milk, house-made chocolate syrup; whipped cream optional (10 fl oz)."
"Mocha - Double","7.50","Espresso, steamed milk, house-made chocolate syrup; whipped cream optional (16 fl oz)."
"Macchiato - Single","3.50","Single shot topped with a dollop of microfoam."
"Macchiato - Double","4.50","Double shot topped with a dollop of microfoam."
"Cortado","5.00","Two shots with ~2 oz steamed milk and a thin layer of microfoam."
"Flat White","5.25","Two shots with ~3 oz steamed milk and a thin layer of microfoam (6 fl oz)."
"Espresso - Single","3.50","Single shot of espresso."
"Espresso - Double","4.50","Double shot of espresso."
"Americano - Single","3.50","One shot of espresso in hot water (10 fl oz)."
"Americano - Double","4.50","Two shots of espresso in hot water (16 fl oz)."
"Chai - Single","5.00","House Tough Chai with fresh ginger and cracked spices (10 fl oz)."
"Chai - Double","6.00","House Tough Chai with fresh ginger and cracked spices (16 fl oz)."
"Lion's Mane Chai - Single","6.75","Tough Chai amplified with lion's mane (10 fl oz)."
"Lion's Mane Chai - Double","7.75","Tough Chai amplified with lion's mane (16 fl oz)."
"Arise Tea","4.50","Golden Yunnan black tea (16 fl oz)."
"Earl Grey Tea","4.50","Ceylon black tea with bergamot and blue cornflowers (16 fl oz)."
"Green Tea","4.50","Japanese Sencha (16 fl oz)."
"Jasmine Tea","4.50","Green tea scented with jasmine blossoms (16 fl oz)."
"Chamomile Tea","4.50","Floral chamomile herbal tea (16 fl oz)."
"Peppermint Tea","4.50","Refreshing peppermint herbal tea (16 fl oz)."
"Scarlet Tea","4.50","Hibiscus and fruit blend herbal tea (16 fl oz)."
"Turmeric Ginger Tea","4.50","Turmeric, ginger, licorice root, lemongrass, and citrus (16 fl oz)."
"Arise Fog","5.25","Arise Tea with house-made vanilla syrup, steamed milk, and microfoam (16 fl oz)."
"London Fog","5.25","Earl Grey with house-made vanilla syrup, steamed milk, and microfoam (16 fl oz)."
"Chamomile Fog","5.25","Chamomile with house-made vanilla syrup, steamed milk, and microfoam (16 fl oz)."
"Matcha (Hot)","7.95","Matcha with oat milk and house-made vanilla syrup (10 fl oz)."
"Hot Chocolate - Single","5.25","Steamed milk with house-made chocolate syrup; whipped cream optional (10 fl oz)."
"Hot Chocolate - Double","6.50","Steamed milk with house-made chocolate syrup; whipped cream optional (16 fl oz)."
"Hot Flavored Milk - Single","5.25","Steamed milk with your choice of flavor (10 fl oz)."
"Hot Flavored Milk - Double","6.50","Steamed milk with your choice of flavor (16 fl oz)."
"Hot Honey Milk - Single","4.50","Steamed milk sweetened with honey (10 fl oz)."
"Hot Honey Milk - Double","5.75","Steamed milk sweetened with honey (16 fl oz)."
"Hot Milk - Single","4.50","Steamed milk (10 fl oz)."
"Hot Milk - Double","5.75","Steamed milk (16 fl oz)."
"Mexican Hot Chocolate - Single","5.50","Steamed milk, chocolate syrup, cinnamon, cayenne, and ancho (10 fl oz)."
"Mexican Hot Chocolate - Double","6.75","Steamed milk, chocolate syrup, cinnamon, cayenne, and ancho (16 fl oz)."
