Item,Price,Description
Classic French Onion Soup,10.00,"Port wine, beef broth, sliced baguette, gruyère and parmesan."
Soup Du Jour,10.00,"Chef Dorian's selection of the day."
Cheesesteak Egg Rolls,13.00,"Served with sriracha aioli."
Chicken Empanadas,14.00,"Chipotle chicken, peppers, onions, cheese; house-made salsa."
Chicken Wings,16.00,"Buffalo style or brown sugar dry rub; bleu cheese or honey mustard; celery and carrot sticks."
Flash Fried Sesame-Ginger Calamari,16.00,"Shiitake mushrooms, red and green bell peppers, scallions, black and white sesame; sriracha drizzle."
Dorian's Mac 'n' Cheese,17.00,"Four-cheese blend, cavatappi pasta, toasted herb breadcrumbs."
A&B Nachos,18.00,"Andouille sausage, grilled chicken, red beans, chickpeas, jalapeños, black olives, tomatoes, cilantro, cheddar and pepper jack; salsa and sour cream."
Birria Disco Fries,18.00,"Braised short ribs, birria sauce, pepper jack and cheddar blend, scallions."
A&B Thin Crust Pizza (Margherita),18.00,"House-made marinara, fresh mozzarella, basil."
Roasted Butternut Squash Salad,15.00,"Baby spinach, roasted butternut squash, goat cheese crumble, red onion, toasted pumpkin seeds, pecans; apple cider vinaigrette."
Roasted Pear Salad,15.00,"Mixed greens, roasted pears, crumbled bleu, red onion, candied walnuts, dried cranberries; balsamic vinaigrette."
Caesar Mediterranean Style,15.00,"Chopped romaine, kalamata olives, tomato, feta, crostini; Caesar dressing."
Greek Salad,16.00,"Arugula, marinated artichoke hearts, feta, kalamata olives, red onion, cherry tomatoes, red peppers, pepperoncini; lemon-oregano vinaigrette."
Cheesesteak Salad,23.00,"Mixed greens, grilled flank steak, roasted red peppers, grilled onions, provolone; garlic-herb dressing; potato hay."
Chipotle Shrimp Tacos (3),17.00,"Sautéed marinated shrimp, cilantro-lime slaw, guacamole drizzle, pico de gallo; flour tortillas."
Mushroom Swiss & Spinach Omelet,18.00,"With choice of hashbrowns, french fries, or garden salad."
Chicken Quesadilla,18.00,"Grilled chicken, pepper jack and cheddar, peppers and onions; sour cream and salsa."
Chicken Pot Pie,20.00,"Carrots, peas, celery, onions, potatoes, flaky crust."
Chicken Fajitas,20.00,"Seared chicken breast, pepper jack and cheddar, poblano and red bell peppers, onion, cilantro; sour cream and guacamole; rice and beans; flour tortillas."
Baked Shepherd's Pie,21.00,"Ground lamb, carrots, peas, corn, onions; cheddar mashed crust."
Short Rib Birria Tacos,21.00,"Shredded braised beef, corn tortillas, onions, cilantro-lime slaw, melted cheese, birria sauce, lime crema."
Fish & Chips,22.00,"Tempura battered cod, french fries, tartar sauce, lemon."
Tamari-Lemongrass Fried Tofu,24.00,"Over jasmine rice with stir-fried green beans, sesame seeds, scallions."
Chicken Scallopini,26.00,"Garlic mashed potatoes, grilled asparagus, lemon butter sauce."
Potato Gnocchi,27.00,"Blistered cherry tomato–white wine sauce, fresh mozzarella, basil, hot chili oil."
Pan Seared Salmon,29.00,"Creamy shrimp risotto, sautéed green beans, balsamic reduction."
NY Strip Steak (8 oz),32.00,"Garlic mashed potatoes, grilled asparagus, cowboy butter."
Black Bean & Spinach Burger,18.00,"Black beans, spinach, onions, pepper blend; sliced avocado, vegan cilantro aioli, lettuce, tomato; ciabatta roll."
All American Burger,19.00,"Angus beef, American cheese, lettuce, tomato, red onion; brioche roll."
Tiger Burger,19.00,"Blackened angus beef, cheddar, lettuce, tomato, red onion, worcestershire-spiked tiger sauce; brioche roll."
Throwback Burger,19.00,"Angus beef, port wine cheddar, sweet pepper relish; brioche roll."
Bleu & Bacon Burger,20.00,"Angus beef, crumbled bleu cheese, smoked bacon, caramelized onions, rosemary aioli; brioche roll."
Aaron Burr/ger,20.00,"Angus beef, smoked gouda, bacon, lettuce, tomato, red onion; ranch and BBQ sauces; brioche roll."
Turkey Burger,20.00,"Swiss, smoked bacon, balsamic onion jam, lettuce, tomato; brioche roll."
A&B Grilled Chicken Club,17.00,"Grilled chicken breast, fresh mozzarella, lettuce, tomato, basil pesto; torpedo roll."
Crispy Chicken Sandwich,17.00,"Chicken thigh, applewood smoked bacon, cheddar, lettuce, tomato, pickles, ranch; brioche roll."
Cheesesteak Hoagie,17.00,"American cheese, mushrooms, peppers, onions, shredded lettuce, tomato; hoagie roll."
Blackened Salmon Sandwich,18.00,"Sliced cucumber, red onion, arugula, lemon-dill spread; pita wrap."
Chili-Marinated Grilled Chicken Sandwich,18.00,"Pepper jack, cilantro, guacamole, lettuce, tomato, chipotle aioli; ciabatta roll."
Grilled Filet Mignon Sandwich,19.00,"Melted gruyere, sautéed spinach, roasted red peppers, red onion; brioche roll."
Basket of French Fries,7.00,""
Basket of Sweet Potato Fries,8.00,""
Basket of Onion Rings,8.00,""
Basket of Beer Battered Green Beans,8.00,""
Trio Basket,14.00,"Onion rings, sweet potato fries, french fries."
Grilled Asparagus,10.00,""
Sautéed Green Beans,10.00,""
Garlic Mashed Potatoes,10.00,""
