"item","price","description"
"Cheese Pie","10.00","Classic cheese pizza or create your own."
"Cheese Pizza Slice","4.00",""
"Arugula Salad","8.50","Arugula, goat cheese, grape tomatoes, red onions, balsamic vinaigrette."
"Cake Cups","6.50","Chocolate cake, carrot cake, or gluten-free peanut butter."
"Nutella Pie","11.50","Choice of banana, strawberry, or pineapple."
"Oven Roasted Chicken Wings","9.00","Made to order; garlic & herbs; tossed in Pizza Den buffalo sauce (medium spicy)."
"Brooklyn Pie","10.50","Fresh mozzarella, tomato sauce, olive oil, fresh basil."
"Tomato Pie","9.50","Tomato sauce, garlic, olive oil, fresh basil. (Vegan)"
"Sauce Less Pie","11.00","Mozzarella, ricotta, goat cheese, olive oil, fresh basil, garlic."
"Hooked On Honey Pie","18.75","Fresh mozzarella, tomato sauce, olive oil, garlic, pepperoni, spicy honey drizzle."
"Meat Meat Meat Pie","19.50","Bacon, pepperoni, sausage."
"Daiya Pie","12.00","Plant-based dairy-free cheese or create your own."
"The Diva Pie","21.50","Crème fraîche, classic cheese, artichokes, spinach, garlic, crushed red pepper."
"Gluten Free Diva Pie","23.00","Gluten-free crust; crème fraîche, classic cheese, artichokes, spinach, garlic, crushed red pepper."
"Tikka Pie","19.00","Tikka masala sauce, mozzarella, spiced chicken, red onions."
"Eye Of The Tiger Pizza","19.00","Sweet and spicy mayo, mozzarella, grilled chicken, mozzarella sticks."
"The V Thang Pie","19.50","Classic cheese, long hot peppers, mushrooms, onions."
"The Greek Pizza","19.50","Mozzarella, long hot peppers, Kalamata olives, topped with goat cheese."
"Buffalo Soldier Pie","18.00","Grilled chicken, buffalo sauce, house-made blue cheese."
"The French Onion","19.00","Classic cheese, caramelized onions, aged Gruyère blend."
"Beach In Hawaii Pie","19.50","Classic pie with pineapple, bacon, long hot peppers."
"Jammin With You Pie","18.00","Mozzarella, spinach, bacon, fig jam, garlic."
"Gluten Free Cheese Pie","15.00","Classic cheese on gluten-free crust or create your own."
"Pepperoni Pizza Slice","5.50",""
"Baby Kale Caesar Salad","8.50","Baby kale, croutons, shaved parmesan, Caesar dressing."
"Chicken Parmesan Sliders","5.75","Chicken breast, mozzarella, herbs on sourdough."
"Eggplant Parmesan Sliders","5.75","Eggplant, mozzarella, herbs on sourdough."
"Pepperoni Slider","5.25","Pepperoni, mozzarella, tomato sauce, herbs on a sourdough roll."
"Bavarian Pretzel","11.00",""
"Garlic Bread","9.50","House dough, olive oil, fresh garlic, grated cheese, herbs."
"Joe Chips","3.00","Classic sea salt or sea salt & vinegar (2 oz)."
"Soda","3.25",""
"Saratoga Spring Water","3.25","Still or sparkling."
"Chicken Parm Sliders Party Platter","67.00",""
"Eggplant Parm Sliders Party Platter","67.00",""
"Arugula Salad Catering","29.75","Arugula, goat cheese, grape tomatoes, red onions, balsamic vinaigrette."
"Baby Kale Caesar Salad Catering","29.75","Baby kale, croutons, shaved parmesan, Caesar dressing."
