Item,Price,Description
Greek Chowder Soup,10.95,"Clams, vegetable cream texture soup"
The Village Salad (horiatiki),17.95,"Local tomato, red onions, cucumber, green peppers, feta cheese, Kalamata olives, topped with organic olive oil and vinegar (gf,vg,vn*)"
Local Greek Salad,17.95,"Spring mix, cherry tomatoes, sun dry tomatoes, croutons, Parmesan cheese, cashews & local Greek dressing (vg,vn*)"
Beets Salad,17.95,"Beets, arugula, oranges, walnuts, fresh Greek herbs, topped with yogurt sauce and balsamic vinaigrette (gf,vg)"
Greek Spreads,24.95,"Tzatziki, spicy feta, eggplant & hummus served with pita bread (gf,vg)"
Octopus,26.95,"Grilled marinated octopus with fava beans purée, Greek herbs, olive oil vinaigrette (gf)"
Mussels,19.95,Zesty tomato sauce finished with white whine and Greek herbs served with pita bread (gf)
Fried Calamari,21.95,Fried squid olive and lemon vinaigrette Greek herbs & marinara sauce
Greek Loukaniko,16.95,Greek traditional sausage with herbs and olive oil
Saganaki,18.95,"Greek style flaming cheese, drizzled with honey and ouzo (vg)"
Halloumi,18.95,"Grilled halloumi cheese, drunken figs and honey with balsamic glaze (gf,vg)"
Tomatokeftedes,19.95,Tomato fritters with feta cheese & tzatziki (vg)
Dolmades,15.95,"Grape leaves stuffed with rice & Greek herbs, yogurt (gf,vg,vn*)"
Revithia,17.95,"Slow cooked chick peas, eggplant, cherry tomatoes, garlic, greek herbs & olive oil topped with feta cheese (gf,vg,vn*)"
Hummus,10.95,"Chick pea, garlic, lemon, tahini & olive oil served with pita bread (vg,vn)"
Greek Gyro Platter,24.95,"Choice of (Pork, chicken, beef/lamb, veggies, tomato fritters), wrapped in pita with tzatziki, onions & tomatoes, served with village salad & one side (gf*,vg*,vn*)"
Lamb Souvlaki,34.95,Grilled lamb kebab served with village salad & one side (gf)
Greek Lamb Kofta,29.95,"Ground beef/ lamb, greek spices with village salad & one side"
Lamb Chops,44.95,"Grilled marinated lamb chops, village salad & one side (gf)"
Chicken Souvlaki,26.95,Grilled chicken kebab served with village salad & one side (gf)
Village Stuffed Chicken,32.95,"Stuffed chicken breast filled with feta, spinach, tomatoes, onions, peppers, dill, lemon butter sauce, village salad & one side (gf)"
Mix Grill Platter For 2,98.95,"Pork gyro, chicken gyro, beef/ lamb gyro, Greek sausage, sticks of pork & chicken souvlaki, keftedes, Greek fries, pita bread, grilled vegetables, feta cheese & tomatoes"
Mix Grill Platter For 4,179.95,"Pork gyro, chicken gyro, beef/ lamb gyro, Greek sausage, sticks of pork & chicken souvlaki, keftedes, Greek fries, pita bread, grilled vegetables, feta cheese & tomatoes"
Mousakas,26.95,"Slow cooked ground beef, eggplant, potatoes & bechamel sauce on the top"
Pastitsio,26.95,Greek style lasagna with slow cooked ground beef and bechamel sauce on the top
Grilled Branzino,41.95,"Grilled whole bone - in branzino with olive oil lemon vinaigrette, served with village salad & one side (gf)"
Halibut,42.95,"Grilled fillet halibut served with fava beans purée, caramelised onions & lemon potatoes (gf)"
Solomos,31.95,Grilled Alaskan salmon served with village salad & one side (gf)
Scallops,32.95,U10 scallops sautéed with olive oil Greek herbs and lemon with spinach rice & grilled asparagus (gf)
Shrimp Souvlaki,30.95,"Shrimp kebab over rice, baby kale & avocado (gf)"
Greek Paella For 2,75.95,"Variety of shrimp, mussels, calamari, octopus, chicken, greek sausage, greek herbs, olive oil & pita bread"
Greek Paella For 4,119.95,"Variety of shrimp, mussels, calamari, octopus, chicken, greek sausage, greek herbs, olive oil & pita bread"
Stuffed Peppers,24.95,"Roasted bell peppers with rice, eggplant, tomatoes, Greek herbs, olive oil, served with lemon potatoes & yogurt (gf,vg,vn*)"
Homestyle Spinach Pie,23.95,Served with village salad (vg)
Fasolakia Ladera,24.95,"Green beans cooked with fresh tomatoes, carrots, onions & feta (vg)"
Greek Fries,8.95,"Hand cut fries topped with feta & oregano (vg,vn*)"
Greek Style Lemon Potatoes,8.95,"Baked in the oven potatoes with lemon juice and olive oil (vg,vn)"
Greek Rice,8.95,Rice with olive oil and lemon (vg)
Greek Salad,8.95,"Tomato, cucumbers, onions, with feta cheese and olives (vg,vn*)"
Galaktoboureko,12.95,"Fillo dough filled with semolina custard, topped with Greek honey & syrup"
Baklava,12.95,"Fillo dough filled with crushed almond & walnuts, topped with Greek honey & syrup"
Bougatsa,12.95,Handmade dough filled with a blend of semolina custard
Portokalopita,12.95,Homemade orange cake
Ekmek Kataifi,12.95,"Shredded dough with Greek honey, layers of Greek and french cream topped with walnuts"
Espresso Single/Double,3.95/4.95,
Americano,4.95,
Latte/Cappuccino,6.95,
Freddo Espresso/ Cappuccino (ICED),5.95/6.95,
Greek Frappe (ICED),6.95,
American Coffee,3.95,
Greek Mountain Tea,5.95,
Soda/Iced Tea/Lemonade,4.95,
