Item,Price,Description
Sanchez,9.69,"Chicken cutlet, American cheese, mozzarella sticks, fries, Sanchez sauce"
Phat Lady,9.69,"Cheesesteak, mozzarella sticks, fries, ketchup, hot sauce"
Mac Daddy,9.69,"Bacon cheeseburger hoagie, mac n cheese wedges, fries, honey mustard, hot sauce"
Heart Stop,9.69,"Cheesesteak, bacon, eggs, ketchup, hot sauce"
Wake-Up Call,11.99,"Cheesesteak, bacon, eggs, hash brown, pork roll"
Middle Finger,9.39,"Grilled cheese with chicken cutlet, pepperoni, honey mustard"
Chicken Pachanga,9.69,"Grilled chicken, chicken tacos, bacon, ranch dressing, hot sauce"
Body Bag,11.99,"#1 hoagie with cheesesteak, hash browns, egg, ketchup, hot sauce"
El Mexicano,9.69,"Cheesesteak, chicken tacos, sour cream, hot sauce"
Bloch,9.69,"Chicken parmigiana, bacon, eggs"
Big Cat,11.99,Double bacon cheeseburger hoagie with double eggs
Shrimp Po'Boy,9.69,"Fried shrimp, lettuce, tomato, tartar sauce, hot sauce"
