Item,Price,Description
Wine Pairing,7.00,"House red or house white."
Buttermilk Biscuits,10.00,"Creamy butter."
House Hummus,13.00,"Herbs, mixed olives, house-made pita, spices."
Sweet Pea Guacamole,16.00,"House-made chips."
Crispy Rhode Island Calamari,19.00,"Pickled shishito peppers, lemon, romesco sauce."
Charcuterie & Cheese,22.00,"Cured meats, local cheeses, zucchini bread crackers, house-made compote."
Pork Belly,18.00,"Caramelized onion purée, pickled red onion, mustard seed."
Steamed Mussels,20.00,"Grilled country bread, white saffron sauce."
Butternut Squash Soup,10.00,"Spicy pumpkin seeds, crème fraîche, scallions."
Kale Caesar Salad,14.00,"Watermelon radishes, parmesan, garlic croutons, classic Caesar dressing."
House Salad,14.00,"Local apples, dried cranberries, shaved fennel, citrus fruit, fresh mint, spiced hazelnut, balsamic vinaigrette."
Cobb Salad,14.00,"Cucumbers, pickled red onions, cherry tomato, sherry vinaigrette, pistachios, mixed greens, bacon, grilled corn, hard-boiled egg."
Beet & Quinoa Salad,14.00,"Ricotta salata, arugula, toasted almonds, sherry vinaigrette."
Margherita Flatbread,18.00,"Tomato sauce, house-made mozzarella, basil."
Mushroom Flatbread,19.00,"Ricotta cheese, spinach, caramelized onion, chili flakes."
Pepperoni Flatbread,19.00,"Garlic spread, tomato sauce, house-made mozzarella."
Grain Bowl,20.00,"Delicata squash, broccolini, pickled vegetables, herbs, spiced pumpkin seeds, tahini sauce."
Veggie Sandwich,17.00,"Hummus, carrots, cucumbers, arugula, tomato, herb aioli, pickled red onion; sourdough bread."
Ricotta Gnocchi,27.00,"Sun-dried tomato, spinach, garlic chips, parmesan, herb sauce."
Seared Salmon,22.00,"Sesame brown rice, house-made kimchi, peas, broccolini, charred onions."
Fish & Chips,20.00,"House-made fries, lemon herb tartar sauce."
Seafood Linguine,29.00,"Shrimp, clams, squid, cherry tomatoes, chili breadcrumbs."
Grilled Chicken Paillard,20.00,"Radishes, mixed lettuce, pickled red onions, local apples, parmesan, dried cranberries."
Meeting House Burger,22.00,"Lima Family Farm 100% grass-fed beef, cheddar, lettuce, tomato, bacon, herb aioli; house-cut fries or side salad."
Atlantic Salmon,32.00,"Acorn squash purée, maitake mushrooms, olive relish."
Seared Halibut,36.00,"Turnip chowder, roasted potatoes, celery, carrots, onion."
Seared Chicken Breast,27.00,"Mashed potatoes, brussels sprouts, salsa verde."
Fried Chicken,25.00,"Brined chicken, apple coleslaw, biscuits, chili honey."
Braised Short Ribs,35.00,"Creamy polenta, carrots, spinach, red wine jus."
Grilled Pork Chop,32.00,"Cannellini beans, arugula, bacon relish."
Flatiron Steak,36.00,"Mashed potatoes, broccolini, chimichurri."
Broccolini,10.00,"Garlic confit, chili flakes."
Brussels Sprouts,10.00,"Marinated shallots, bacon jam."
House-Cut Fries,8.00,"Fries"
Mashed Potatoes,10.00,"Yukon potatoes, cream, butter."
Fingerling Potatoes,9.00,"Rosemary, parmesan."
Mac And Cheese,9.00,"Toasted breadcrumbs."
