Item,Price,Description
Tom Yum Gai Soup,9.95,"Lemongrass, kaffir lime, white mushroom, and tomato in a spicy chili broth. Choose between tofu, shrimp, or chicken."
Coconut Chicken Soup (tom Kha Gai),11.95,"Coconut milk soup with chicken, straw mushroom, bell pepper, galangal, cilantro, lemongrass, and lime juice."
Thai Clear Pork Vegetable Soup (gaeng Jued),9.95,"Glass noodle with ground pork, celery, spring onion, garlic, Napa, carrot, straw mushroom, herbs, and spices in a mild chicken broth."
Spicy Mango Salad,14.95,"Fresh mango slices, lettuce, cucumber, carrot, tomato, cilantro, cashew, chili powder and special lime sweet fish sauce dressing."
Green Papaya Salad (som Tum),13.95,"Shredded raw green papaya with lettuce, tomato, string beans, peanuts, and chili with special lime juice sauce."
Tofu Salad,10.95,"Fried tofu with Thai lemon-lime vinaigrette, lettuce, tomato, bean sprout, fresh cucumber, carrot, cilantro, and peanut in peanut sauce."
Duck Salad,17.95,"Sliced crispy duck with tomato, carrot, cucumber, red onion, apple, lime juice, and chili sauce."
Calamari Salad,15.95,"Fried calamari with lettuce, tomato, cucumber, red onion, garlic, mint, cilantro, basil, and chopped roasted peanuts with sweet chili sauce."
Thai Beef Salad (yam Neua),17.95,"Grilled beef slices, tomato, cucumber, shallot, black pepper, mint, cilantro, lime, and chili with fish sauce."
Soft Shell Crab Salad,17.95,"Deep-fried soft shell crab with mango slices, lettuce, black pepper, tomato, cucumber, carrots, cilantro, and lime with chili fish dressing."
Thai Spring Roll (2 Pcs),6.95,"Fried spring rolls with carrot, bamboo shoot, and cabbage served with plum sauce."
Thai Fresh Spring Roll (2 Pcs),7.95,"Spring rolls in rice paper, fresh cucumber, carrot, bean sprout, onion, and cilantro, served with peanut sauce."
Crab Rangoon (6pcs),11.95,"Crabmeat, onion, scallion, and cream cheese with plum sauce."
Satay (4 Pcs),11.95,Strips of chicken breast or beef slices grilled on bamboo skewers and served with a side of peanut sauce.
Organic Edamame,9.95,Boiled Edamame beans with sea salt.
Dumpling (6 Pcs),13.95,Hand made pork dumplings with dry shrimp and mix vegetables.
Thai Style Crispy Fried Chicken Wings,14.95,Thai style deep-fried chicken wings with house special dipping sauce.
Crispy Roti (2 Pcs),13.95,Thai style flat bread served with chicken/vegetable curry dipping sauce.
Fried Tofu,10.95,Fried tofu with peanut and sweet chili sauce
Curry Puffs (4pcs),15.95,"Deep-fried curry stuffed wonton, special made with potato, carrot, onion and green pea. Served with cucumber salad."
Coconut Shrimp (4 Pcs),14.95,Crispy fried jumbo shrimp with coconut dipping sauce.
Fried Fish Cake (tod Mun Pla) (4 Pcs),10.95,"Fish, basil, lime leaves, and green bean served with spicy cucumber salad."
Roti Beef (2 Pcs),17.95,Grilled marinated beef with cabbage in Thai Style flatbread.
Roti Chicken (2 Pcs),17.95,Grilled marinated chicken with cabbage in Thai Style flatbread.
Thai Village Platter,19.95,"Spring roll, fried calamari, coconut shrimp and curry puff; served with sweet chili sauce, coconut dipping sauce and cucumber salad."
Fried Calamari,14.95,Fresh fried calamari with herbs served in sweet chili sauce.
Fried Soft Shell Crab (2 Pcs),19.95,Deep-fried soft shell crab with garlic and pepper served with cucumber salad
Money Bag,15.95,"Sweet Potato, corn, edamame, pea, carrot, water chestnut, scallion with pastry wrapper."
Pad Thai,16.95,"Thai rice noodles stir-fried with egg, bean curd, bean sprout, scallion, shredded carrot, and ground peanuts. Can be made mild, spicy, or extra hot."
Thai Drunken Noodle,17.95,"Thai flat rice noodle with egg, string bean, shallot, Thai basil, bell pepper, and white mushroom served with house chili fish sauce. Can be made mild, spicy, or extra hot."
Mama Noodle,20.95,"Signature mama noodle with onion, cabbage, bean sprouts, cilantro, basil, chili fish sauce."
Pad See Ew,17.25,"Thai flat rice noodle, egg, and Chinese broccoli served with brown sauce. Can be made mild, spicy, or extra hot."
