Item,Price,Description
"Roasted Eggplant, Red Pepper & Tomato Soup (V)","10.95","sourdough fig jam grilled cheese bite"
"New England Corn & Clam Chowder","13.95","roasted local sweet corn, garlic parmesan croutons, crispy bacon"
"Harvest Fall Salad (GF/V)","15.95","young lettuces, port wine poached pears, candied walnuts, smoked moody blue cheese, radish, cucumber, rose vinaigrette"
"Organic Kale Salad (GF/V)","14.95","young kale, roasted acorn squash, sun dried tomatoes, pickled cauliflower, feta cheese, radish and carrot, pumpkin seed vinaigrette"
"Fall Hummus Board (V)","20.95","heirloom carrot and dill, zaatar, warm pita pillow, feta cheese, garden vegetables"
"Local Yellowfin Tuna Tartare","20.95","avocado, deviled egg, sliced watermelon radish, filone crisps"
"Artisan Cheeseboard (V)","20.95","wild honeycomb, golden raisins, sunflower seed crackers"
"Bang Bang Cauliflower (GF/VGN)","15.95","sweet & sour chili glaze, fresno chiles, sesame seeds, scallions"
"Crispy Rhode Island Calamari","19.95","house-made pickled vegetables, pickled jalapeño, arugula, basil aioli"
"Local Burrata (V)","16.95","figs, Aleppo spiced honeynut squash, pomegranate seeds, arugula and basil oil, filone toast"
"Marinated Beet Salad (GF/V)","15.95","arugula, pistachios, blood oranges, radish, gold and Chioggia beets, truffle oil, goat yogurt, chives"
"Margherita Flatbread (V)","17.95","fresh mozzarella, crushed tomatoes, basil"
"Local Mushroom Flatbread (V)","19.95","spinach, Fulper Farms ricotta cheese, local egg, Pecorino Romano, truffle oil"
"Fig Flatbread","19.95","fig jam, speck, duck fat potatoes, fontina cheese, rosemary"
"Pepperoni Flatbread","19.95","local artisanal pepperoni, local burrata, pickled jalapeño, arugula, basil"
"Organic Egg Frittata (GF/V)","21.95","Fulper Farms ricotta, spinach, preserved tomato, pickled red onion, arugula salad"
"Jerk Shrimp Tacos (3 pcs) (GF)","17.95","red cabbage, pickled red onion, avocado purée, chili salsa, cilantro"
"Crispy Chicken Sandwich","20.95","house-made B&B pickles, honey-mustard slaw, pickled jalapeño"
"Hand Pressed Beef Burger","21.95","Midwest 100% ground chuck, aged cheddar, house-made B&B pickles, lettuce, aioli (add bacon +2)"
"Grain Bowl (V)","28.95","sautéed kale, roasted cauliflower, cranberries, cashews, crispy fried Brussels sprout leaves"
"Grilled Chicken Pita Pillow","19.95","hummus, avocado, tomato, cucumber, arugula, lemon-oregano dressing, sweet potato chips"
"Spaghetti Squash & Chicken Ricotta Meatballs (GF)","28.95","charred tomato sauce, swiss chard, hon Shimeji mushrooms, basil, parmesan"
"Sweet Corn Ravioli (VGN)","29.95","assorted mushrooms, roasted garlic, spinach, vegan tree nut butter, basil"
"Chicken Katsu Salad","28.95","mango, cherry tomatoes, red peppers, carrots, Napa cabbage, arugula, Asian cilantro dressing, peanuts, jalapeño"
"Sourdough Grilled Cheese (V)","16.95","fig jam, fontina and Comté cheese, red endive & roasted eggplant, red pepper & tomato soup"
"Spiced Faroe Island Salmon Salad (GF)","25.95","young spinach, quinoa, lentils, cauliflower, pickled red onion, raisins, saffron emulsion"
"Steak & Eggs","29.95","flat iron steak, organic eggs, acorn squash hash, crispy fingerling potatoes, salsa verde"
"Stir-Fried Pork & Soba Noodles","28.95","roasted broccoli, Jimmy Nardello peppers, green onions, ginger, heirloom garlic, cilantro"
"Glazed Prime Short Rib","38.95","butternut-pumpkin purée, baby carrots, Brussels sprouts, pomegranate"
"Seared Faroe Island Salmon (GF)","36.95","mushroom risotto, butternut squash, broccolini, lemon caper sauce"
"Maine Pineland Farms Strip Steak (12 oz)","49.95","roasted fingerling potatoes, broccolini, Caesar dressing, garlic herb butter"
"Goffle Farms Boneless Chicken Parm","32.95","local burrata, heirloom tomatoes, grilled romaine, parmesan focaccia"
"Roasted Branzino (GF)","35.95","multicolor peewee potatoes, peppers, fennel confit, spinach, saffron rouille sauce, cilantro, walnuts"
"Line Caught Seared Halibut (GF)","38.95","delicata squash, romanesco, cauliflower purée, romesco sauce, fennel-raisin compote"
"Roasted Root Vegetables","10.95","carrot caramel"
"Roasted Local Mushrooms (GF/VGN)","13.95","black truffle oil"
"Broccolini Caesar","9.95","fresh lemon, parmesan crumbs, garlic chips"
"Roasted Brussels Sprouts, Grapes & Shallots (VGN)","10.95","caraway-mustard vinaigrette"
"Roasted Fingerling Potatoes (VGN)","10.95","rosemary oil"
"Hand-Cut Fries (VGN)","9.95","sea salt"
"Hand-Cut Truffle Fries (V)","11.95","sea salt"
"Avocado (GF/VGN)","3.95","sea salt, olive oil"
