Item,Price,Description
Gluten Free Pancakes,13.5,
Gluten Free Waffle,17.5,
Gluten Free French Toast,18.5,
PJ’s Famous Breakfast Combo (Two‑Fer Breakfast),18.5,"Two eggs your way, two buttermilk pancakes, two slices bacon, one sausage link; upgrade pancakes +$2; sub French toast or waffle +$2"
"Lox, Stock & Bagel",20.95,"Lox, tomato, onion, capers, cream cheese"
Fried Egg Sandwich (plain),12.95,
"Fried Egg Sandwich (with meat & cheese, kaiser)",14.95,
"Trenton Pork Roll, Egg & Cheese (kaiser)",17.95,"American, sautéed onions, tomato"
Huevos Ranchero Wrap,17.95,"Eggs over hard, sausage, ranchero sauce"
Breakfast Burrito,17.95,"Eggs, chorizo, pepper jack, potatoes, peppers"
Breakfast Scramble Quesadilla,19.95,"Eggs, bacon, cheddar, guacamole, sour cream"
Eggy Benny,18.95,Canadian bacon on English muffin
Sammy Benny,20.95,"Lox, onions, capers on English muffin"
Porky Benny,19.95,"Trenton pork roll, sautéed onions on English muffin"
Veggie Benny,19.95,"Portobello caps, wilted spinach, roasted red peppers on English muffin"
Shakshuka,19.95,"Over‑easy eggs, spicy crushed tomato sauce, onions, peppers, spinach, feta, crostini"
Mexishuka,20.95,"Scrambled eggs, crumbled chorizo, mashed avocado, pico de gallo, queso fresco"
Country Boy Hash,21.95,"Over‑easy eggs, diced sirloin, peppers & onions, over mashed browns"
Indian Ramen,20.95,"Ramen, diced tomato, onions, peppers, shredded Amul, cilantro, fried egg"
Steak & Eggs,27,"Sirloin, onions, two eggs any style"
Pigs in a Blanket Pancakes,19,
Nutty Multi‑Grain Pancakes,11.5,
Silver Dollar Pancakes,13.5,
Pecan Pancakes,12.5,
Chocolate Chip Pancakes,11.5,
Peanut Butter Chocolate Chip Pancakes,11.5,
Oreo Pancakes,13.5,
Chai Vanilla Whipped Cream Pancakes,13.5,
Brown Sugar Pineapple & Ham Pancakes,14.5,
Blueberry Pancakes,13.5,
Banana Pancakes,11.5,
Banana Pecan Pancakes,14.5,
Banana Caramel Foster Pancakes,13.5,
Cinnamon Swirl Pancakes,11.5,
Nutella Banana Strawberry Pancakes,15.5,
Strawberry Pancakes,13.5,
Caramel Apple Cinnamon Pancakes,13.5,
Tres Leches Pancakes,14.5,
S’mores Pancakes,13.5,
Tiramisu Pancakes,13.5,
Pancake Sampler,19.95,Your choice of 3
Plain Jane Waffle,13.95,
Plain Jane French Toast,15.95,
Banana Waffle,16.95,
Banana French Toast,18.95,
Banana Caramel Foster Waffle,17.95,
Banana Caramel Foster French Toast,19.95,
Caramel Apple Cinnamon Waffle,16.95,
Caramel Apple Cinnamon French Toast,18.95,
Chicken & Waffles,23.95,"Chicken fritters, fries, real maple syrup"
Strawberry Waffle,16.95,
Strawberry French Toast,18.95,
Nutella Banana Strawberry Waffle,17.95,
Nutella Banana Strawberry French Toast,19.95,
Blueberry Waffle,15.95,
Blueberry French Toast,17.95,
Strawberry & Cannoli Waffle,17.95,
Strawberry & Cannoli French Toast,19.95,
Avocado Toast — Classic,14.95,"Feta, sea salt, crushed red pepper (add an egg +$3)"
Avocado Toast — Smoked Salmon,18.95,"Lox, cream cheese, onions, capers"
Avocado Toast — Bacon & Egg,17.95,"Scrambled or fried egg, chopped bacon"
Plain Potato Cakes,16.5,
Denver Potato Cakes,17.95,"Peppers & onions, ham"
Puerco Potato Cakes,18.95,"Crumbled chorizo, onion, jalapeño, queso fresco"
Works Potato Cakes,19.95,"Cheddar, bacon, chicken, sour cream, scallion"
Ham Egg & Cheddar Potato Cakes,17.95,
Mushrooms Spinach & Swiss Potato Cakes,15.95,
Nutella Banana Strawberry Potato Cakes,18.95,
Caramel Apple Cinnamon Potato Cakes,17.95,
"Stuffed Pancakes — Bacon, Scrambled Eggs, Guacamole, Feta",17.95,
"Stuffed Pancakes — Pork Roll, Fried Eggs, Sautéed Onions, American",17.95,
Build Your Own Burger,17.95,Add-ons available
Jersey Burger,19.95,"Pork roll, American cheese, fried egg"
Mexican Burger,19.95,"Pepper jack, guacamole, pico de gallo"
Smothered Cheeseburger,19.95,Sautéed onions & mushrooms
Turkey Burger,19.95,"Avocado, pesto mayo"
Veggie Burger,18.95,"Caramelized onions, lettuce, tomato, special sauce on side"
Philly Cheese Steak,18.95,"Onions, mushrooms, peppers, tomatoes; torpedo roll"
Turkey Club,17.95,"Turkey, bacon, American, lettuce, tomato, mayo; white"
Pastrami Reuben,19.95,"Swiss, sauerkraut, Thousand Island; rye"
Fat Tiger Sandwich,19.95,"Sirloin steak, bacon, shoestring fries, pepper jack, lettuce, tomato; torpedo"
Grilled Chicken Caesar Wrap,18.95,"Chicken, lettuce, croutons, Caesar dressing"
Buffalo Chicken Fritters (wrap or brioche),18.95,"Crispy fritters, buffalo sauce, pickles, lettuce, tomato, mayo"
BLTA,16.95,"Bacon, lettuce, tomato, avocado; rye"
Chicken Quesadilla,22,"Cheddar, lettuce, tomato, guacamole & sour cream"
Steak Quesadilla,22,"Cheddar, lettuce, tomato, guacamole & sour cream"
Tuscan Chicken Sandwich,18.95,"Grilled chicken, eggplant, fresh mozzarella, red pepper, basil pesto; torpedo"
Caesar Salad,15.75,"Romaine, shaved parmesan, croutons"
Cobb Salad,17.75,"Romaine, egg, bacon, cucumber, tomato, blue cheese dressing"
Kale Salad,18.75,"Baby kale, Tuscan croutons, bacon, sunny side up egg, cherry tomato, shaved parmesan, EVOO, ranch"
Greek Salad,17.75,"Feta, kalamata olives, tomatoes, cucumber, red onion, romaine, red wine vinegar dressing"
Chicken Noodle Soup,9,
French Onion Soup,9,
Tuscan Tomato Soup,9,
Mac & Cheese,14.95,"Cheddar, American, Swiss, panko"
Guacamole & Chips,13.5,Made fresh daily; house tortilla chips
Onion Rings,10.95,Special sauce
Loaded Nachos,17,"Pepper jack, cheddar, onions, tomatoes, bell peppers, pico de gallo, jalapeños, sour cream"
Italian Meatball Skillet,11.95,"Shaved parmesan, fresh basil"
Mozzarella Sticks (7),10,Marinara sauce
Pigs in a Blanket (Starter),10,
Hot Spinach & Artichoke Dip,11,
Buffalo Wings (8),14.95,"Celery, blue cheese dressing"
Rigatoni Vodka,16.95,"House vodka sauce, crumbled sausage, shaved parmesan"
Gnocchi Sorrentino,15.95,"Sunday sauce, fresh mozzarella, basil pesto"
Spaghetti & Meatballs,18.95,"Hand‑rolled meatballs, fresh spaghetti, Sunday sauce, shaved parmesan"
Chicken Parm,18.95,"Breaded cutlet, fresh mozzarella, Sunday sauce, fresh basil; choice of pasta or broccoli florets"
Eggplant Parm,17.95,"Breaded medallions, fresh mozzarella, Sunday sauce, fresh basil; choice of pasta or broccoli florets"
Choice of Meat (side),7,"Ham, bacon, sausage, turkey sausage, pork roll, corned beef hash, Canadian bacon, pastrami, turkey bacon, veggie sausage"
PJ’s Mashed Browns (side),6,
Two Eggs (side),6,
Croissant (side),5,"Strawberry jam, marmalade, or Nutella"
Milk (12 oz),3.5,Whole or skim
Chocolate Milk (12 oz),4.5,
Hot Chocolate,4.5,
S’mores Hot Chocolate,5.5,
Juice (12 oz),4.5,"Orange, apple, cranberry, V‑8, lemonade"
Bottomless Fountain (12 oz),3.95,"Coke, Diet Coke, Sprite, ginger ale, root beer, Fanta orange, raspberry iced tea"
Cappuccino or Latte,4.5,
Imported Italian Espresso,3,Single / double
Bottomless Hot Coffee,3,Regular or decaf
PJ’s Cold Brew,5,
Hot Tea,3,
Chai Latte,5,Harney & Sons Organic Chai
Fresh Brewed Bottomless Iced Tea,3,Shangri La organic black tea
Hand‑Spun Milkshake,10,"Your flavor ice cream: Espresso Chip, Black & White, Plain, Oreo, Chai Vanilla, Strawberry Nutella, Banana Peanut Butter Chip"
Fruit Smoothie,8,"Choice of two: Strawberry, Banana, Blueberry, Pineapple"
Plain Pie (Artisan),12,Marinara sauce and cheese
Plain Pie (Large),24,Marinara sauce and cheese
Margherita Pie (Artisan),15,"Marinara, fresh mozzarella, basil"
Margherita Pie (Large),27,"Marinara, fresh mozzarella, basil"
Four Cheese Pie (Artisan),16,"Fresh mozzarella, shaved parmesan, shaved provolone, ricotta, heirloom cherry tomatoes"
Mushroom Pie (Artisan),17,"Shaved provolone, wild mushroom blend, fresh parsley, truffle oil drizzle"
Mushroom Pie (Large),26,
Meatball Pie (Artisan),17,"Marinara, house meatballs, sweet red onions, sharp provolone"
Meatball Pie (Large),29,
Sausage Pie (Artisan),17,"Marinara, sweet Italian sausage, caramelized onions, shaved parmesan, basil"
Sausage Pie (Large),29,
Pepperoni Pie (Artisan),18,"Marinara, cupped pepperoni, shaved parmesan"
Pepperoni Pie (Large),30,
Jersey Square Tomato Pie (Large),29,"Focaccia‑like dough, chunky plum tomatoes, fresh mozzarella, basil"
Build Your PJ’s Pie (12 inch),12,Marinara sauce and cheese; toppings extra
Build Your PJ’s Pie (16 inch),24,Marinara sauce and cheese; toppings extra
Calzone,13,"Choice of two cheeses (mozzarella, ricotta, parmesan, provolone); additions extra"
