Item,Price,Description
"Alexandra Wrap","11.95","Honey turkey, lettuce, onion, melted mozzarella"
"American Wrap","11.95","Ham, turkey, roast beef, swiss, lettuce, tomato, red onion, russian dressing"
"Annalena Special Wrap","11.95","Grilled eggplant, imported ham, melted mozzarella, sundried tomato, EVOO, balsamic"
"Basil Chicken Wrap","11.95","Crispy tenders, sweet peppers, romaine, melted mozzarella, basil glaze"
"Basilita Wrap","11.95","Crispy grilled chicken, radicchio, avocado, basil"
"Brooklyn Wrap","11.95","Bacon, cheddar, avocado, romaine, tomato, onion, russian dressing"
"Buffalo Chicken Wrap","11.95","Buffalo chicken, bleu cheese, chopped romaine"
"Calabria Wrap","11.95","Porchetta, broccoli rabe, provolone, cherry peppers"
"Camden Wrap","11.95","Grilled chicken, crispy eggplant, basil pesto, red pepper"
"Caprese Chicken Wrap","11.95","Prosciutto di Parma, soppressata, shaved provolone, hot cherry peppers, balsamic glaze"
"Chicken Caesar Wrap","11.95","Chicken, romaine, reggiano, caesar dressing"
"Chicken Cuban Wrap","12.95","Roast chicken, provolone, pickles, dijon"
"Gorgonzola Tuna Wrap","12.95","Imported tuna, gorgonzola, fig jam, arugula"
"Gordita Wrap","12.95","Prosciutto di Parma, mortadella, soppressata, provolone, olive spread"
"Heart Healthy Wrap","11.95","Roast turkey, arugula, swiss, balsamic"
"House Special Wrap","11.95","Fresh veggies, mozzarella, balsamic"
"Italian Tuna Wrap","11.95","Imported tuna, arugula, lemon, EVOO"
"JFK Special Wrap","11.95","Chicken, prosciutto, tomato, shaved parmigiano, romaine"
"La Roma Wrap","11.95","Roast chicken, prosciutto, balsamic mushrooms, arugula, honey mustard"
"Laura Wrap","11.95","Eggplant, chopped tomato, mozzarella, basil pesto"
"Nassau Street Wrap","12.95","Prosciutto di Parma, roasted red peppers, basil pesto, mozzarella"
"Peter Piper Wrap","11.95","Oven-roast turkey, artichoke cheese spread, arugula"
"Primavera Special Wrap","11.95","Veggies, avocado, vinaigrette"
"Roast Beef Wrap","11.95","Roast beef, turkey, sharp cheddar, coleslaw, russian dressing"
"Sinatra Wrap","11.95","Ham, genoa salami, provolone, lettuce, tomato, vinegar & oil"
"Spring Street Wrap","11.95","Breaded eggplant, hot soppressata, arugula, fresh mozzarella, basil pesto"
"Tropea Wrap","11.95","Soppressata, brie, chicken, pickles, house sauce"
"Tulane Street Wrap","11.95","Roast chicken, sun-dried tomato aioli, provolone"
"Turkey BLT Wrap","11.95","Turkey, bacon, lettuce, tomato"
"Turkey Supreme Wrap","11.95","Turkey, cheddar, honey mustard"
"Tuscany Italian Wrap","12.95","Prosciutto di Parma, fresh mozzarella, hot capicola, provolone, balsamic"
"Brooklyn Hot Roast Beef Hero","14.95","Roast beef & melted mozzarella in port wine mushroom gravy"
"Chicken Parmigiana Hero","13.95",""
"Eggplant Parmigiana Hero","13.95",""
"Hoboken Style Hot Dog Trio","13.95","Three all-beef hot dogs, peppers & onions, provolone"
"Meatball Parmigiana Hero","13.95",""
"Philly Cheesesteak Hero","14.95",""
"Philly Chicken Cheesesteak Hero","14.95",""
"Princeton Pastrami Hero","14.95","Hot pastrami, swiss, mustard, pickles"
"Princeton Tiger Hero","13.95","Breaded chicken cutlet, ham, melted mozzarella, vodka sauce, toasted garlic bread"
"Sausage Parmigiana Hero","13.95",""
"Shrimp Parmigiana Hero","16.95",""
"Veal Parmigiana Hero","16.95",""
"Burger","10.95",""
"Cheeseburger","11.95",""
"Avocado Swiss Burger","13.95",""
"Bacon & Cheddar Club Burger","13.95",""
"Black & Blue Burger","13.95",""
"California King Burger","13.95","Monterey jack, avocado, bacon"
"Flagship Burger","13.95",""
"Greek Burger","13.95","Feta, kalamata olive spread, roasted peppers"
"Mushroom Teriyaki Swiss Burger","13.95",""
"Parisian Bistro Burger","13.95","Blue cheese, sautéed onions, au jus"
"Texas BBQ Burger","13.95","Cheddar, sautéed onions, BBQ sauce"
"Mediterranean Burger","13.95","Roasted tomato, fresh mozzarella, basil pesto"
"Cheese Pizza","10.95",""
"Margherita Pizza","10.95",""
"D'Angelo Pizza","11.95","Mozzarella, grilled zucchini, cherry tomatoes, olives, basil pesto, shaved parmigiano"
"Quattro Formaggi Pizza","11.95",""
"Quattro Stagioni Pizza","11.95","Tomato sauce, mozzarella, ham, mushrooms, artichokes"
"Pizza Fantasia","11.95","Tomato sauce, mozzarella, mascarpone, speck"
"Patatosa Pizza","11.95","Tomato sauce, mozzarella, french fries"
"La Caprese Pizza","11.95","Fresh mozzarella, sliced tomato, EVOO, basil"
"Parmense Pizza","11.95","Prosciutto, mozzarella, parmigiano, arugula, shaved parmigiano"
"Vegetariana Pizza","11.95","Tomato sauce, mozzarella, mushrooms, radicchio, zucchini, eggplant"
"Parmigiana Pizza","11.95","Tomato sauce, eggplant, mozzarella, parmigiano, basil"
"Salsiccia Pizza","11.95","Tomato sauce, mozzarella, sausage, mushrooms, peppers"
"Misticanza Pizza","11.95","Spring mix, arugula, cherry tomatoes, shaved parmigiano, walnuts, EVOO, balsamic"
"Chocolate Nutella Pizza","13.95","Italian Nutella, strawberries & bananas"
"Gluten Free Pizza","17.95",""
"Grilled Chicken with Broccoli Rabe","16.95",""
"Grilled Chicken Capricciosa","16.95",""
"Sausage & Peppers San Gennaro","16.95",""
"Sausage Parmigiana (GF)","16.95",""
"Gluten-Free Pasta","16.95",""
"Alfredo Pasta","13.95",""
"Baked Ziti","13.95",""
"Bolognese Pasta","13.95",""
"Carbonara Pasta","13.95",""
"Filetto di Pomodoro Pasta","13.95",""
"Gnocchi Gratinati","13.95",""
"Lasagna","13.95",""
"Manicotti","13.95",""
"Pesto Genovese Pasta","13.95",""
"Puttanesca Pasta","13.95",""
"Ravioli Marinara","13.95",""
"Stuffed Shells","13.95",""
"Vodka Pasta","13.95",""
"Capricciosa (Chicken)","16.95",""
"Capricciosa (Veal)","19.95",""
"Florentina (Chicken)","16.95",""
"Florentina (Veal)","19.95",""
"Francese (Chicken)","16.95",""
"Francese (Veal)","19.95",""
"Milanese (Chicken)","16.95",""
"Milanese (Veal)","19.95",""
"Marsala (Chicken)","16.95",""
"Marsala (Veal)","19.95",""
"Parmigiana (Chicken)","16.95",""
"Parmigiana (Veal)","19.95",""
"Sorrentina (Chicken)","16.95",""
"Sorrentina (Veal)","19.95",""
"Eggplant Rollatini","14.95",""
"Eggplant Parmigiana (Entrée)","14.95",""
"Shrimp Parmigiana (Entrée)","19.95",""
"Shrimp in a Basket","19.95",""
"Shrimp Scampi","19.95",""
"Shrimp Francese","19.95",""
"Side Caesar Salad","3.99",""
"Side Della Casa Salad","3.99",""
"Chicken Salad (side)","6.00",""
"Tuna Salad (side)","6.00",""
"Macaroni Salad","4.00",""
"Potato Salad","4.00",""
"Cole Slaw","4.00",""
"French Fries","5.00",""
"French Fries with Cheese","6.00",""
"Mozzarella Sticks (6)","7.95",""
"Garlic Bread w/ Cheese","4.50",""
"Honey Mustard Chicken (side)","6.99",""
"Broccoli Rabe (side)","6.99",""
"Grilled Vegetables (side)","6.99",""
"Eggplant Rollatini (side)","6.99",""
"Buffalo Wings (6)","8.99",""
"Buffalo Wings (24)","24.95",""
"Quinoa Salad","7.99","Roasted vegetables, fresh mint, basil"
"Tomato Salad with Feta","5.99",""
"Farro Salad with Walnuts","5.99","Pineapple, cranberries, bell pepper"
"Cucumber & Tomato Salad","5.99",""
"Tortellini Pesto Salad","5.99","Kalamata olives"
"Pasta Bruschetta w/ Fresh Mozzarella","5.99","Tomato & basil"
"Mediterranean Orzo","5.99","Cucumber, tomato, red onion, feta"
"Sfogliatelle","2.50",""
"Cannoli","2.50",""
"Almond Cheesecake Cones","4.99",""
"Tiramisu","7.50",""
"Profiteroles","6.50",""
"Genovese Pastry","4.99",""
"Cassatine","5.99",""
"Rice Pudding","5.99",""
"Yogurt Parfait","5.99",""
"Fresh Fruit Cup","5.99",""
"Italian Butter Cookies (0.25 lb)","6.99",""
"Pignoli Cookies (0.25 lb)","9.99",""
"Espresso","2.75",""
"Double Espresso","3.50",""
"Macchiato","3.50",""
"Cappuccino","3.50",""
"Latte","3.50",""
"Nutella Cappuccino","4.00",""
"Americano","2.75",""
"Drip Coffee","2.50",""
"Iced Coffee","2.50",""
"Iced Latte","3.50",""
"Hot Tea","2.00",""
"Water (20 oz)","2.99",""
"Soft Drink (20 oz)","2.50",""
