Item,Price,Description
Blackberry,8,Ice Cream
PB,8,Ice Cream
Vanilla Bean,8,Ice Cream
Dark Chocolate,8,Ice Cream
Hazelnut,8,Ice Cream
Lemon- NJ Peach,8,Ice Cream
Mocha Chunk,8,Ice Cream
Fresh Ricotta,8,Ice Cream
Chocolate Orange,8,Ice Cream
Coffee Cookie,8,Ice Cream
Beet Basil,8,Ice Cream
Cointreau Cilantro,8,Ice Cream
NJ Honey,8,Ice Cream
Lavender Mascaropne,8,Ice Cream
Vanilla Sea Salt Caramel,8,Ice Cream
NJ Cantaloupe,8,Sorbet
Alphonso Mango,8,Sorbet
Blood Orange,8,Sorbet
Dark Chocolate Sorbet,8,Sorbet
Lime Shiso,8,Sorbet
Fresh Nectarine,8,Sorbet
Raspberry,8,Sorbet
Plum Lavender,8,Sorbet
Hazelnut Sorbet,8,Sorbet
