Item,Price,Description
"Original Cucumber","9.28","Fresh sliced cucumber with house soy, garlic, and sesame dressing."
"Rock Shrimp","16.24","Crispy rock shrimp served with spicy mayonnaise."
"Mini Buns (3 pcs)","16.24","Soft buns with choice of crispy beef or tempura shrimp, shredded cabbage, and house sauce."
"Perfect Crispy Potstickers","11.76","Crispy pan-fried dumplings; pork, chicken, or veggie filling options."
"Eggplant Fries","11.60","Lightly battered eggplant fries with five-spice and house sauce."
"Pork Belly Cucumber Roll","16.24","Thin pork belly wrapped with cucumber, garlic, and scallion in a light vinegar-soy dressing."
"Lotus Root Salad","16.24","Chilled sliced lotus root tossed with chili oil, garlic, and cilantro."
"Taiwanese Popcorn Chicken","16.24","Crispy fried dark-meat chicken bites with basil and five-spice."
"Dan Dan Noodles (Appetizer)","15.08","Sichuan style noodles in spicy sesame and chili dressing with minced pork and peanuts."
"Spicy Beef Tripe Salad","17.40","Thin-sliced beef tripe in chili oil with cilantro and crushed peanuts."
"Shrimp Wonton Soup","17.40","Shrimp wontons in light chicken broth with scallion."
"Shrimp Wontons in Spicy Peanut Sauce","16.24","Shrimp wontons served with chili oil and peanut sauce."
"N0 The Ultimate Lanzhou Beef Noodles","19.72","Hand-pulled noodles with mixed beef cuts in clear beef broth; cilantro, scallion, and radish."
"N1 Lanzhou Beef Noodles","18.56","Classic hand-pulled noodles in clear beef broth with sliced beef, cilantro, scallion, and radish."
"N2 Lanzhou Braised Beef Noodles","19.72","Hand-pulled noodles in rich braised beef broth with tendon and brisket."
"N3 Sichuan Liangmian (Cold)","18.56","Cold hand-pulled noodles tossed with garlic, black vinegar, chili oil, cucumber, and bean sprouts."
"N4 Monster Spicy Beef Noodles","18.56","Extra-spicy beef broth with hand-pulled noodles, beef slices, and chili."
"N5 Beijing Zha Jiang Mian","18.56","Hand-pulled noodles with savory pork–soybean paste, cucumber, and bean sprouts."
"N6 Tomato and Egg Noodles","18.56","Hand-pulled noodles in tomato and egg broth with baby napa and scallion."
"N7 Scallion and Ginger Noodles","17.40","Dry noodles dressed with scallion-ginger oil, sesame, and soy."
"N8 Lanzhou Home-Style Noodles","17.40","Noodles in beef broth with sesame butter and peanut; topped with spinach."
"N9 Home-style Stir-Fried Beef Noodles","20.88","Stir-fried hand-pulled noodles with beef, tomato, onion, carrots, and cabbage."
"Plain Noodles without Broth","6.96","Hand-pulled noodles served plain, no broth."
"Plain Noodles with Broth","12.76","Hand-pulled noodles in plain beef broth."
"Side of Beef Broth","6.96","Side order of clear beef broth."
"Carrot and Radish Pickled Salad","4.64","House pickled carrot and radish."
"B1 Nomad Mongolian Beef","25.52","Slightly sweet and spicy Mongolian-style beef with baby leek."
"B3 Triple Pepper Beef","25.52","Stir-fried beef with long-horn peppers and bell peppers; spicy."
"B4 Beef in Hot Chili Bowl","30.16","Beef slices in chili broth with bean sprouts and peppercorn."
"B5 Griddle Cooked Spicy Pot (Beef)","25.52","Sizzling griddle pot with beef and vegetables in spicy sauce."
"B6 Shabu Shabu Beef","26.68","Thin beef in light broth with vegetables; dip with sesame sauce."
"B7 Shabu Beef with Glass Noodles in Pickled Broth","29.00","Shabu beef served with glass noodles in pickled vegetable broth."
"B8 Sizzling Griddle Pot Beef","29.00","Hot griddle beef with mixed vegetables and chili."
"B9 Classic Orange Beef","29.00","Crispy beef in classic orange sauce."
"B10 Spicy Orange Beef","29.00","Crispy beef in spicy orange sauce."
"C1 Kung Pao Chicken","19.72","Stir-fried chicken with bell peppers, peanuts, and chili."
"C2 Crispy Spicy Chicken","20.88","Fiercely spicy crispy chicken with dried chili and Sichuan peppercorn."
"C3 Sesame Chicken","19.72","Chicken cubes with savory-sweet sesame sauce."
"R1 Home-style Basil Fried Rice","16.24","Fried rice with egg, onion, scallion, basil, and sea salt."
"Shanghai Bok Choy","18.56","Baby napa and bok choy sautéed with garlic and sake."
"Baby Lily Bulb","22.04","Lily bulb sautéed with baby black wood ear mushroom."
"Pan Fried Potatoes","18.56","Garlic-jalapeño pan-fried potato slices."
"Sugar Snap Peas","20.88","Stir-fried sugar snap peas with seasonal vegetables."
"Bean Tops","23.20","Greens sautéed with garlic and ginger."
"Celtuce","18.56","Lightly sautéed celtuce stems with black wood ear mushroom."
"Water Spinach","23.20","Sautéed water spinach with garlic and white wine."
"Ma Po Tofu (Non-GMO)","18.56","Spicy, numbing tofu with scallion and baby leek."
"Flash Fried String Beans","22.04","String beans flash fried with shallots and burnt garlic."
"Black Sesame Munchkin (6 pcs)","7.54","Soft chewy black sesame rice balls dusted with sesame."
"Coke","3.48","12 oz can."
"Sprite","3.48","12 oz can."
