Item,Price,Description
"Pastry Assortment","12","Chef’s choice of three baked goods; dine-in only"
"Daily Quiche","10","Ask about seasonal special"
"Smashed Avocado Tartine","13.5","Avocado, cherry tomatoes, rainbow beets, pickled onions, herbs, lemon, pumpkin seeds, sea salt, chili flakes on sourdough"
"Make Your Own Omelette","14","Open-faced omelette; choose 3: roasted tomatoes, roasted red peppers, herbed feta, gruyère, pickled onions; topped with balsamic mixed greens"
"Farmhouse Granola Parfait","10","Greek yogurt, almond-butter granola, winter berry marmalade"
"Overnight Oats","11","Vanilla toasted oats, coconut, banana, chia; banana chips, candied pumpkin seeds, toasted coconut"
"Fiona's Berries & Cream Belgian Waffles","15","With vanilla bean crème fraîche, winter berry marmalade, fresh berries; maple syrup"
"Papa’s Breakfast Bowl","16","Roasted potatoes, arugula, bacon, caramelized onions, avocado, chipotle aioli, sunny egg"
"Caitlin's Breakfast Wrap","15","Scrambled eggs, gruyère, candied bacon, arugula, pickled onions, roasted tomatoes; chipotle aioli"
"Estee's Bacon Egg & Cheese","12.5","Candied bacon, over-easy egg, cheddar, spicy tomato ketchup on croissant bun"
"Maman’s Breakfast Sandwich","14","Sunny egg, candied bacon, avocado, roasted tomatoes, caramelized onions on brioche"
"Charlotte's Sunrise Spread","16","GF pancake topped with candied bacon, avocado, two sunny eggs; maple syrup"
"Eggs Ratatouille (weekends)","16","Eggplant, zucchini, stewed tomatoes baked with two sunny eggs; herbed feta; toasted sourdough"
"Evan's Soupe du Jardin","12","Roasted carrots, coconut milk, herbs, ginger, turmeric; sage oil; candied pumpkin seeds; croutons"
"Raquel's Chicken Caesar Salad","16","Romaine hearts, roasted chicken, shaved parmesan, croutons, pickled onions; caesar on side"
"Elisa's Mediterranean Harvest Bowl","16","Chickpeas, roasted sweet potatoes, hummus, roasted tomatoes, cucumber, herbed feta, EVOO, toasted bread, sunny egg"
"Wilde Smoked Salmon Salad","18","Smoked salmon, hash-brown croutons, mixed greens, cucumber, herbed yogurt, avocado"
"Camille’s Spinach & Beet Salad","16","Spinach, roasted beets, honeycrisp apples, herbed feta, pickled onions, herbed apple-cider vinaigrette, pomegranate seeds"
"Maribel’s Quinoa & Chickpea Bowl","16","Tri-color quinoa, romaine, chickpeas, roasted sweet potatoes, roasted carrots, candied pumpkin seeds; lemon-sumac tahini"
"Martha Stewart’s Chicken Club Sandwich","17","Roasted chicken, candied bacon, sharp cheddar, romaine, pickled onions, avocado, sweet & spicy mustard on triple-decker bread"
"Martine's Mediterranean Steak Sandwich","17","Marinated flank steak, za’atar tahini, roasted red peppers, pickled onions, grated tomato, arugula, chimichurri on baguette"
"Ham & Cheese Croissant Sandwich","12","Dijon mustard, cornichon"
"Andrea’s Everything Croissant & Salmon Sandwich","17","Smoked salmon, lemon whipped cream cheese, everything seasoning, cucumber, pickled onions, herbs on everything croissant bun"
"Croque Maman","16","Parisian ham, gruyère, house béchamel on country bread"
