Item,Price,Description
Falafel,8.44,"finely ground chickpeas, onions, parsley, garlic, and spices; deep fried into semi circles"
Shawarma,12.11,thinly sliced lamb made with signature spices and cooked slowly on a stand up rotisserie
Chicken Kebob,11.86,marinated cubes of chicken breast; skewered and grilled
Classic,9.99,falafel and hummus
West 4th,12.99,shawarma and hummus
Manhattan,12.86,"falafel, hummus, baba ganouj, tabbouleh, pickles, pickled turnips, and olives"
West Village,9.99,"falafel, baba ganouj, and pickles"
Macdougal,12.99,shawarma and falafel
Sullivan,14.49,"chicken kebob, hummus, and tabbouleh"
East Village,11.24,"falafel, hummus, tabbouleh, and olives"
Bleecker,12.99,chicken kebob and falafel
Combo,13.61,"a la carte plate with falafel, hummus, and baba ganouj; substitute any vegetarian item at no additional cost; add meat for an additional charge (lamb, chicken, beef)"
Hummus Bowl,12.36,"home-made hummus topped with tangy pickles, vibrant turnips, briny olives, fresh onions, and juicy tomatoes; drizzled with rich olive oil and served with two crispy falafel balls, warm pita, and crunchy croutons (add seasoned rice for an additional charge; no salad option)"
Seasoned Fries,5.99,served with choice of garlic dipping sauce or ketchup (note: garlic dipping sauce is not vegan)
Lentil Soup,4.99,served with pita chips
Mamoun's Salad*,4.36,"lettuce, tomatoes, onions, pickles, pickled turnips, olives, feta cheese, and tahineh sauce"
Hummus,4.84,"chickpea spread made with lemon, garlic, and tahineh; topped with olive oil and paprika"
Pita Chips,1.74,seasoned with salt and pepper
Pickled Veggies,4.36,"pickles, pickled turnips, and olives"
Bag of Pita Bread,5.29,6 pieces; baked fresh in-house daily
Baba Ganouj,4.84,"roasted eggplant spread made with parsley, garlic, and tahineh; topped with olive oil and paprika"
Seasoned Rice,2.5,made with our own blend of spices
Grape Leaves,4.36,stuffed with white rice and spices (4 pieces)
Pita Bread,1.11,baked fresh in-house daily
Baklava (Walnuts)*,4.36,fillo dough stuffed with walnuts
Baklava (Pistachio)*,4.36,fillo dough stuffed with pistachios
Tahineh,0.86,smooth sesame seed-based sauce
Garlic,1.11,"savory, garlic infused sauce"
Mint Lemonade,4.36,sweet lemonade infused with fresh flakes of mint
Mamoun's Iced Tea,4.36,"freshly brewed, unsweetened black tea infused with cardamom"
Mango,4.36,sweet mango puree
Tamarind,3.29,tart and refreshing juice from the tamarind fruit
Soda,2.36,"choice of Coke, Diet Coke, Coke Zero, Cherry Coke, Sprite, Sprite Zero, Orange Fanta, Ginger Ale, Selzer, Powerade Mountain Berry Blast, Vitamin Water Acai Pomegranate"
Bottled Water,2.11,
