Item,Price,Description
Chinese Spring Roll,9.95,Golden fried crispy spring rolls served with sweet chili sauce.
Assorted Veg Pakoras,10.95,"Crisp light fritters made with cauliflower, potatoes, onions,jalepenos, eggplant served with tamarind chutney."
Egg Bonda,10.95,Crispy fritters made with boiled egg served with mint & tamarind chutney.
Masala Papad 2 Pcs,9.95,"Stoneground lentil cracker topped with cilantro, onion, tomatoes, lime juice & spices."
Masala Peanuts,9.95,"Roasted peanuts topped with cilantro, onion, tomatoes, lime juice & spices."
Samosa Chat,11.95,"Samosas topped with potatoes, tomatoes, assorted chutneys & curd."
Street Style Churmuri,9.95,"A puffed rice, vegetables & dates-mango sauce."
Paani Puri,9.95,Puffed crispy wheat shells stuffed with potatoes & spicy chilled herbed broth.
Hara Bara Kebabs,11.95,"Hara bhara kebabs are pan fried spiced patties made with a mix of spinach, green peas potatoes"
Chicken Momo (5 Pcs),16.95,Steamed minced chicken wrapped in wonton deep fried and tossed with garlic soy sauce
Veg Momo (5 Pcs),15.95,Steamed minced vegetables wrapped in wonton skin deep fried and tossed with garlic soy sauce
Aloo Tikki Chole Chat,10.95,Potatoe patties are topped with spicy punjabi chole
Eggplant Fry,10.95,Eggplant cut sliced dipped in bread crumbs and shallow fried
Chili Paneer Dry,15.95,Cubes of cottage cheese sauteed with fresh chili onions in light soy sauce.
Veg Manchurian Dry,15.95,Golden-fried vegetable balls tossed with onions & chili garlic sauce.
Lassoni Gobi Manchurian,15.95,Cauliflower crispy florets with tangy garlic green onions.
Crispy Baby Corn Chili,15.95,"Corn fritters tossed in fresh crushed pepper, ginger & garlic."
Dakshini Crispy Sprouts,14.95,Crispy Brussels sprouts roasted & pan sauteed with turmeric ginger cumin & curry leaves.
Crispy Lotus,15.95,Crispy lotus stems stir fried with onions in honey sauce.
Mushroom Chili,15.95,"Golden fried mushroom tossed in a sauces of sweet, sour& spicy flavor"
Kerala Chicken,16.95,"Cubed chicken pan-seared garlic, turmeric, black peppercorn, curry leaves & coconut milk."
Chicken 65,16.95,Spicy chicken morsels sauteed with curry leaves & mustard seeds.
Chicken Lollipops,16.95,"Tender chicken wings marinated with fresh herbs, chilies, garlic & wok-fried."
Chili Fish Dry,16.95,Tilapia fish fillet sauteed with fresh chili onions in light soy sauce.
Tava Fish Fry,15.95,Marinated fish with Indian spices and then roasted using gram flour
Coriander Prawns,17.95,Jumbo shrimp with green & red pepper tossed in a sweet & spicy sauce.
Sungta Kismuri,16.95,"Sauteed shrimp curry leaves, red chilies, spicy tomato sauce."
Paneer 65,15.95,This delicious snack is prepared by deep frying spicy paste coated cottage cheese cubes
Onion Pakoras,9.95,Deep fried fritters made with battered onions
Veg Momo,15.95,Steamed minced vegetables wrapped in wonton skin basket served with garlic soy sauce
Cut Mirchi,11.95,Traditional spiced chili with potatoes tomatoes onions well chopped and garnished with Indian spices added crushed peanuts
Tomato Soup,7.95,Tomato consomme with mustard seed & cracked pepper.
Tomato Bisque,7.95,Super silky version of the classic tomato soup with the touch of chicken & cream.
Lemon Coriander,7.95,"A tangy soup made of herbs, vegetable stock, lemon & coriander."
Hot & Sour Soup,7.95,Combination of mushrooms & tofu with a choice of chicken or vegetables.
Manchow Soup,6.95,Garlic flavored soup with a choice of chicken or vegetables.
Chennai Fish Curry,26.95,A delightful dish made using Pomfret fish & a variety of spices.
Mangaloori Fish Curry,26.95,"South Indian Karavali specialty marinated fish, wok tossed in a spicy chili sauce."
Mangaloori Shrimp Curry,26.95,"Karavali style specialty marinated shrimp, wok tossed with different spices"
Spinach Prawn Masaledar,26.95,Prawn sauteed cilantro mint ginger with spinach sauce.
Salmon Curry,26.95,"Seasoned salmon cooked in tandoor & mixed with mustard seeds, curry leaves flavored onion and tomato sauce."
Fish Chili Curry,26.95,"A traditionally prepared fish curry with bamboo shoot, onion, bell pepper & coconut milk in your choice of sauce."
Shrimp Chili Curry,26.95,"A traditionally prepared shrimp curry with bamboo shoot, onion, bell pepper & coconut milk in your choice of sauce."
Fish Vindaloo,26.95,A traditionally prepared with baby potatoes with spicy onions tomato gravy.
Shrimp Vindaloo,26.95,A traditionally prepared with baby potatoes with spicy onions tomato gravy.
Goan Fish Curry,26.95,This Goan fish curry is a warm and tangy fish curry that is cooled with coconut milk. It’s a perfect Indian sea food curry recipe to warm up with
Shrimp Tikka Masala,26.95,Shrimp pureed in fresh tomato creamy sauce.
Mughlai Chicken,22.95,Boneless chicken cubes with almond & cashew sauce sauteed with Indian spices.
Butter Chicken Tikka Masala,22.95,Chicken cubes pureed in fresh tomato creamy sauce.
Chennai Chicken Chettinad,22.95,Star anise marinated chicken cooked in hot & tangy Chettinad paste & coconut milk.
Thai Chicken Curry,22.95,Traditionally prepared chicken curry with Thai sauce.
Spinach Chicken Saag,22.95,"Chicken cubes tossed with tomato, ginger, onions, pepper cooked with fresh spinach."
Chicken Vindaloo,22.95,A traditionally prepared with baby potatoes with spicy onions tomato gravy.
Lamb Vindaloo,24.95,A traditionally prepared with baby potatoes with spicy onions tomato gravy.
Lamb Rogan Josh,24.95,Stewed lamb chunks flavored with onion & fennel seeds with cockscomb flower.
Mughlai Lamb Pasanda,24.95,"Creamy sauce of cashew, almonds & cardamom."
Mumbai Goat Masala,24.95,Baby goat cubes with bone cooked in Indian spices with touch onions tomato sauce.
Kadai Goat Curry,24.95,Tender pieces of goat with bone cooked with touch onions green pepper herbs & spices.
Spinach Lamb,22.95,"Stir-fried lamb, onions, pepper & hot ginger, garlic spinach sauce."
Desi Mumbai Chicken Curry,22.95,With bones chicken cubes are used in the preparation; the cuisine is made with the trademark coconut milk and range from mild to spicy
Pepper Chicken Masala,22.95,Chicken cooked in pepper and other Indian spices mostly on the spicy side.
Methi Malai Chicken,22.95,Murg methi malai is a decadent & luxurious dish prepared with chicken and methi leaves simmered in a rich creamy curry
Kashmiri Mutton Rogan Josh,24.95,Mutton mixed in intense flavors. Mouth-watering delicacy orginating from Kashmir.
Spinach Kofta,20.95,Classical North Indian cuisine which has spinach dumplings in a spicy gravy made from onions and tomatoes
Veg Kolhapuri,20.95,Maharashtra Indian cuisine consisting of mixed vegetables in a thick spicy gravy
Baigan Bartha (vegan),20.95,"Smoked aubergine pulp with garlic, red chilies, cumin, green peas & fresh coriander leaves."
Delhi Chickpea (channa) Masala (vegan),18.95,"Chickpeas cooked with ginger, garlic, onions & tomatoes with freshly ground Indian spices."
Paneer Makani,20.95,Cottage cheese cubes with tangy tomato creamy sauce.
Mughlai Malai Kofta,20.95,Cottage cheese & vegetable rounds in sour cream & traditional Mughlai sauce.
Palak Paneer,20.95,Spinach puree flavored with fresh grounded herbs & spices with small dices of cottage cheese.
Navoratna Korma,20.95,"A mix vegetable special, creamy sweet & onions, tomato sauce."
Hariyali Paneer Makhani,20.95,"Marinated paneer pieces with lemon juice, green chili paste and salt cooked in creamy green gravy"
Shaam Savera,20.95,Paneer pikes play hide and seek in the spinach purée based gravy
Paneer Bhurjee,20.95,"Homemade cottage cheese mashed & cooked with onion, tomatoes & spices."
Bengali Aloo Gobi Masala,20.95,Cauliflower & potatoes cooked with onion ginger garlic sauce in flavored from Bengali masala.
Bindi Masaledar (vegan),20.95,"Crispy okra, red onion, coriander, tomato & chat masala, tempered with sesame seeds."
Kadai Paneer,20.95,"Cottage cheese with tomatoes, onions, & bell peppers, immersed in an aromatic sauce."
