Item,Price,Description
"Spicy Calabrian Caesar","15.95","Organic romaine, free-range roasted chicken, pickled fresno chiles, herb sourdough croutons, parmigiano-reggiano, crispy shallots, spicy Calabrian Caesar dressing"
"Peruvian Aji Chicken","15.95","Alfalfa mix greens, aji panca chicken thighs, sofrito black beans, fresh corn, grape tomatoes, cotija, yellow corn tortilla chips, avocado tomatillo salsa"
"Greek","13.45","Alfalfa mix greens, Persian cucumbers, grape tomatoes, red onion, organic quinoa, herb chickpeas, Greek feta, kalamata olives, pita chips, lemon herb vinaigrette"
"Laguna","13.45","Alfalfa mix greens, free-range roasted chicken, grape tomatoes, herb sourdough croutons, parmigiano-reggiano, dairy-free Caesar"
"West Coast","14.45","Alfalfa mix greens, avocado, medjool dates, strawberries, red onion, goat cheese, sliced almonds, balsamic vinaigrette"
"OG Cardini","15.45","Alfalfa mix greens, free-range roasted chicken, grape tomatoes, herb sourdough croutons, parmigiano-reggiano, dairy-free Caesar"
"Buffalo Goddess","13.95","Alfalfa mix greens, organic forbidden rice, buffalo cauliflower, shredded brussels sprouts, sweet potatoes, goat cheese, ancho maple pepitas, green goddess ranch, cashew buffalo hot sauce"
"Far East","15.45","Alfalfa mix greens, miso maple tofu, roasted broccoli, roasted beets, carrots, red and green cabbage crunch, superseed crunchies, spicy sesame cashew dressing"
"Sunflower","12.45","Alfalfa mix greens, avocado, herb chickpeas, apples, ancho maple pepitas, organic quinoa, walnuts, balsamic vinaigrette"
"Bacon Burrito","14.95","Flour tortilla, smoked applewood bacon, free-range eggs, ancho Yukon gold potatoes, red pepper and onion, aged sharp cheddar; with poblano crema and cashew buffalo hot sauce"
"Chorizo Burrito","12.95","Flour tortilla, house organic chorizo, free-range eggs, ancho Yukon gold potatoes, red pepper and onion, aged sharp cheddar; with avocado tomatillo salsa and spicy salsa roja de arbol"
"Ancho Potato Burrito","10.95","Flour tortilla, free-range eggs, ancho Yukon gold potatoes, red pepper and onion, aged sharp cheddar; with avocado tomatillo salsa and spicy salsa roja de arbol"
"Chicken Bone Broth (16 oz)","8.00","House-made from free-range chicken bones"
"Blueberry Coconut Cream Smoothie","12.45","Wild blueberries, banana, coconut yogurt, coconut milk, cardamom, blueberry jam, coconut whip, local vanilla ice cream"
"Arnold Palmer","3.75","Half lemonade, half iced tea"
"Organic Hot Coffee (12/16 oz)","2.50/3.50","Drip coffee"
"Cold Brew","5.00","Rich, chocolatey cold brew over ice"
"Crimson Palmer Iced Tea","3.75","Crimson iced tea mixed with lemonade"
"Organic Espresso","3.00","Single espresso"
"Organic Americano (12/16 oz)","3.00/4.00","Espresso with hot water"
"Organic Latte (12/16 oz)","4.50/5.50","Espresso with steamed milk"
"Organic Cappuccino (12/16 oz)","4.50/5.50","Espresso with steamed milk and microfoam"
"Oat Milk Matcha Latte","6.00","Matcha with oat milk"
"Oat Milk Chai Latte","5.50","Chai with oat milk"
"Ginger Turmeric Lemonade","3.75","Fresh-pressed ginger and turmeric lemonade"
"Organic Crimson Iced Tea","3.75","Unsweetened crimson iced tea"
"Organic Black Iced Tea","3.75","Unsweetened black iced tea"
"Assorted Hot Teas","3.00","Organic assorted teas"
"Spring Water","4.00","Bottled water"
"Chocolate Sprinkle Doughnut","3.50","Chocolate glaze with rainbow sprinkles"
"Lemon Thyme Doughnut","3.50","Lemon and thyme glaze with dried thyme"
"Fairy Bread Doughnut","3.50","Australian butter glaze and round rainbow sprinkles"
"Chocolate Chip Cookie","4.50","Chocolate chip cookie with K+M chocolate and flaky sea salt"
"Brownie","6.00","Fudgy gluten-free brownie topped with peanut butter whipped cream"
"Nutella Bites","2.50","Three cinnamon sugar doughnut holes filled with Nutella"
"Poblano Canyon Chicken Plate","16.95","Skin-on chicken thighs, cilantro-lime basmati rice, massaged kale salad, sofrito black beans, roasted fiesta corn, herbs, poblano crema, lime"
"Forbidden Salmon Plate","19.95","Nordic sustainable salmon, forbidden rice, massaged kale salad, spicy cashew cabbage-scallion crunch, roasted carrot and beet salad, herbs, superseed crunchies, miso maple sauce"
"Thai Steak Plate","21.95","Sliced skirt steak, organic basmati rice, charred broccolini, mint cucumber salad, herbs, Thai chimichurri"
