Item,Price,Description
"Artichoke Hearts Francese","12.00",""
"Four Cheese Spinach Dip","16.00",""
"Fried Calamari","18.00","tomatoes, onions, banana peppers & balsamic"
"Ahi Tuna & Avocado Martini","18.00",""
"Crab & Artichoke Dip","18.00",""
"Shrimp Cocktail","18.00",""
"Crab Cake","22.00",""
"Colossal Crab Cocktail","26.00",""
"Chilled Seafood Tower (Small)","95.00","raw oysters, raw clams, ahi tuna & avocado martini, shrimp, mussels, lobster"
"Chilled Seafood Tower (Large)","170.00","raw oysters, raw clams, ahi tuna & avocado martini, shrimp, mussels, lobster"
"Baked Five Onion Soup","10.00",""
"Lobster Bisque (Cup)","10.00",""
"Lobster Bisque (Bowl)","12.00",""
"Caesar Salad","14.00","parmesan, romaine, sourdough croutons"
"Iceberg Wedge","14.00","bacon, tomatoes, blue cheese dressing"
"Witherspoon Chopped Salad","18.00","mixed lettuce, bacon, radish, eggs, artichokes, blue cheese, tomatoes & fried onions"
"Chicken Cobb Salad","26.00","eggs, avocado, blue cheese, bacon, cucumbers, tomatoes, parmesan vinaigrette"
"Cabo Grilled Shrimp Salad","28.00","roasted corn, queso fresco, black beans, avocado, tomatoes, onions, cucumbers, crispy tortilla chips, tarragon dressing"
"N.Y. Strip Steak Salad","36.00","mixed greens, tomato wedges, parmesan vinaigrette, blue cheese crumbles, crostini"
"Turkey Club","22.00","house-made chips & pickle"
"BBQ Short Rib Sandwich","22.00","frizzled onions, coleslaw, sweet potato fries & pickle"
"Grilled Chicken Sandwich","22.00","blue cheese fondue, cherry jam, arugula, pickled onion; served with fries & pickle"
"Smoked Salmon Club","24.00","house-made chips & pickle"
"New England Lobster Roll","36.00","house-made fries & pickle"
"The Witherspoon Burger","22.00","10oz Angus burger with lettuce, tomato, onion; fries & pickle spear"
"Lemon Chicken","24.00","chicken cutlet, mushrooms & artichokes in a lemon pan sauce"
"Pan-Seared Salmon","25.00","beurre blanc; choice of house chopped salad or fries"
"Jumbo Lump Crab Cake","25.00","house-chopped salad, beurre blanc & remoulade"
"Short Rib Mac & Cheese","28.00","braised short rib, caramelized onion, bordelaise & ricotta"
"Butternut Ravioli","29.00","wild mushroom cream, kale, truffle, herbed crumbs"
"Jumbo Shrimp Rigatoni","34.00","spicy vodka sauce, peas, sausage, herbed crumbs"
"Griggstown Brick Chicken","36.00","pizzaiola sauce, roasted potatoes, herb oil, basil"
"Pan-Roasted Salmon","36.00","ricotta gnocchi, lobster sauce, peas, herb crumbs, tarragon"
"Filet Mignon Tips","40.00","mashed potatoes, green beans & gravy"
"Boneless Braised Short Rib","42.00","two-hour onions, mushrooms, mashed potatoes, shredded balsamic Brussels sprouts"
"Jumbo Lump Crab Cakes","44.00","creamy cabbage slaw & beurre blanc"
"Pork Chop (16 oz)","36.00","apple cider glaze, sweet & sour braised cabbage"
"Steak Frites (8 oz Hanger)","36.00","with fries"
"Strip Steak (12 oz)","48.00","cut in-house"
"Rack of Lamb (10 oz)","48.00","herb panko crust, asparagus, roasted red potatoes"
"Filet Mignon (8 oz)","50.00","cut in-house"
"Dry Aged Bone-In Ribeye (20 oz)","58.00","dry aged & cut in-house"
"Porterhouse for Two (48 oz)","110.00","served with house sauces"
"Onion Rings","10.00",""
"Fries","10.00",""
"Mashed Potatoes","11.00",""
"Baked Potato","11.00",""
"Brussels Sprouts","12.00","bacon & shallots"
"Broccolini","12.00","butter & garlic"
"Asparagus","12.00","butter & garlic"
"Creamed Spinach","12.00",""
"Mac & Cheese","14.00",""
