Item,Price,Description
Tacos,4.6,"hand-crafted taco with your choice of protein, salsa, onions, cilantro, cotija cheese, crema; on a fresh corn tortilla"
Burrito Box,10.95,"your choice of protein served over rice, black beans, cheese, salsa, pico de gallo, crema; brown rice available"
Burrito,10.95,"mission-style burrito with your choice of protein, rice, black beans, salsa, cheese, crema; on a flour tortilla; brown rice available"
Quesadilla,10.5,"served with your choice of protein, cheese, salsa, crema; on a flour tortilla"
Nachos,10,"hand-cut corn tortillas with your choice of protein, black beans, salsa, cheese, crema, escabeche peppers"
Salad,10.95,"chopped romaine lettuce, choice of protein, black beans, pico de gallo, sliced avocado, house pineapple lime dressing on the side"
Mexican Street Corn,4.95,"on the cob; chipotle aioli, cotija cheese, cilantro"
Golden Avocado (2pc),3.5,
Chips,2.5,
Chips & Guacamole,5.5,
Chips & Pico De Gallo,4.5,
Guacamole,3.5,
Pico De Gallo,2.5,
Fountain Soda,2.95,
Agua Fresca,2.95,
Bottled Water,3.5,
Bottled Soda,3.5,
Nutella Nachos,5.5,"crispy flour tortillas tossed in brown sugar and cinnamon, drizzled with nutella and topped with powdered sugar"
